lag_center_ns,raw_pair_count
-2499.000,600
-2497.000,540
-2495.000,597
-2493.000,531
-2491.000,521
-2489.000,590
-2487.000,555
-2485.000,515
-2483.000,570
-2481.000,548
-2479.000,548
-2477.000,562
-2475.000,498
-2473.000,543
-2471.000,568
-2469.000,527
-2467.000,528
-2465.000,571
-2463.000,566
-2461.000,569
-2459.000,551
-2457.000,567
-2455.000,574
-2453.000,554
-2451.000,545
-2449.000,593
-2447.000,584
-2445.000,539
-2443.000,574
-2441.000,608
-2439.000,574
-2437.000,589
-2435.000,540
-2433.000,585
-2431.000,615
-2429.000,528
-2427.000,558
-2425.000,603
-2423.000,536
-2421.000,533
-2419.000,560
-2417.000,580
-2415.000,555
-2413.000,571
-2411.000,531
-2409.000,545
-2407.000,551
-2405.000,539
-2403.000,530
-2401.000,551
-2399.000,555
-2397.000,556
-2395.000,565
-2393.000,545
-2391.000,566
-2389.000,525
-2387.000,516
-2385.000,598
-2383.000,538
-2381.000,545
-2379.000,560
-2377.000,547
-2375.000,577
-2373.000,556
-2371.000,533
-2369.000,623
-2367.000,539
-2365.000,554
-2363.000,574
-2361.000,552
-2359.000,543
-2357.000,578
-2355.000,504
-2353.000,570
-2351.000,549
-2349.000,513
-2347.000,529
-2345.000,567
-2343.000,538
-2341.000,519
-2339.000,563
-2337.000,561
-2335.000,549
-2333.000,525
-2331.000,530
-2329.000,607
-2327.000,537
-2325.000,576
-2323.000,538
-2321.000,578
-2319.000,586
-2317.000,557
-2315.000,558
-2313.000,562
-2311.000,549
-2309.000,557
-2307.000,585
-2305.000,578
-2303.000,600
-2301.000,593
-2299.000,576
-2297.000,558
-2295.000,586
-2293.000,584
-2291.000,576
-2289.000,562
-2287.000,579
-2285.000,571
-2283.000,594
-2281.000,576
-2279.000,535
-2277.000,593
-2275.000,565
-2273.000,545
-2271.000,562
-2269.000,534
-2267.000,596
-2265.000,528
-2263.000,551
-2261.000,556
-2259.000,559
-2257.000,556
-2255.000,552
-2253.000,544
-2251.000,555
-2249.000,574
-2247.000,551
-2245.000,560
-2243.000,573
-2241.000,546
-2239.000,538
-2237.000,563
-2235.000,524
-2233.000,558
-2231.000,574
-2229.000,590
-2227.000,510
-2225.000,565
-2223.000,543
-2221.000,557
-2219.000,572
-2217.000,538
-2215.000,580
-2213.000,580
-2211.000,519
-2209.000,523
-2207.000,541
-2205.000,566
-2203.000,572
-2201.000,599
-2199.000,501
-2197.000,570
-2195.000,547
-2193.000,566
-2191.000,574
-2189.000,534
-2187.000,565
-2185.000,561
-2183.000,560
-2181.000,578
-2179.000,523
-2177.000,606
-2175.000,567
-2173.000,548
-2171.000,569
-2169.000,572
-2167.000,587
-2165.000,599
-2163.000,525
-2161.000,593
-2159.000,561
-2157.000,532
-2155.000,565
-2153.000,598
-2151.000,564
-2149.000,563
-2147.000,550
-2145.000,518
-2143.000,590
-2141.000,567
-2139.000,500
-2137.000,563
-2135.000,566
-2133.000,571
-2131.000,577
-2129.000,545
-2127.000,562
-2125.000,586
-2123.000,539
-2121.000,520
-2119.000,560
-2117.000,622
-2115.000,536
-2113.000,534
-2111.000,559
-2109.000,586
-2107.000,567
-2105.000,567
-2103.000,560
-2101.000,616
-2099.000,553
-2097.000,589
-2095.000,592
-2093.000,581
-2091.000,565
-2089.000,584
-2087.000,568
-2085.000,553
-2083.000,558
-2081.000,568
-2079.000,549
-2077.000,624
-2075.000,567
-2073.000,531
-2071.000,579
-2069.000,562
-2067.000,542
-2065.000,596
-2063.000,536
-2061.000,579
-2059.000,573
-2057.000,548
-2055.000,552
-2053.000,595
-2051.000,543
-2049.000,540
-2047.000,554
-2045.000,547
-2043.000,536
-2041.000,551
-2039.000,558
-2037.000,576
-2035.000,583
-2033.000,579
-2031.000,579
-2029.000,545
-2027.000,546
-2025.000,585
-2023.000,593
-2021.000,581
-2019.000,597
-2017.000,596
-2015.000,559
-2013.000,595
-2011.000,561
-2009.000,566
-2007.000,582
-2005.000,589
-2003.000,572
-2001.000,570
-1999.000,547
-1997.000,577
-1995.000,549
-1993.000,591
-1991.000,586
-1989.000,585
-1987.000,515
-1985.000,552
-1983.000,564
-1981.000,585
-1979.000,541
-1977.000,555
-1975.000,550
-1973.000,575
-1971.000,524
-1969.000,543
-1967.000,542
-1965.000,532
-1963.000,527
-1961.000,561
-1959.000,586
-1957.000,556
-1955.000,548
-1953.000,520
-1951.000,583
-1949.000,560
-1947.000,539
-1945.000,613
-1943.000,553
-1941.000,609
-1939.000,561
-1937.000,510
-1935.000,561
-1933.000,544
-1931.000,567
-1929.000,575
-1927.000,559
-1925.000,599
-1923.000,575
-1921.000,561
-1919.000,560
-1917.000,564
-1915.000,563
-1913.000,568
-1911.000,525
-1909.000,600
-1907.000,556
-1905.000,589
-1903.000,518
-1901.000,544
-1899.000,548
-1897.000,536
-1895.000,537
-1893.000,581
-1891.000,553
-1889.000,548
-1887.000,574
-1885.000,540
-1883.000,519
-1881.000,558
-1879.000,579
-1877.000,560
-1875.000,541
-1873.000,557
-1871.000,566
-1869.000,564
-1867.000,575
-1865.000,528
-1863.000,547
-1861.000,618
-1859.000,581
-1857.000,556
-1855.000,557
-1853.000,567
-1851.000,582
-1849.000,531
-1847.000,590
-1845.000,590
-1843.000,545
-1841.000,560
-1839.000,577
-1837.000,569
-1835.000,557
-1833.000,538
-1831.000,551
-1829.000,554
-1827.000,570
-1825.000,595
-1823.000,543
-1821.000,558
-1819.000,569
-1817.000,503
-1815.000,552
-1813.000,569
-1811.000,555
-1809.000,572
-1807.000,563
-1805.000,575
-1803.000,563
-1801.000,548
-1799.000,557
-1797.000,561
-1795.000,552
-1793.000,584
-1791.000,552
-1789.000,584
-1787.000,589
-1785.000,559
-1783.000,558
-1781.000,563
-1779.000,555
-1777.000,570
-1775.000,592
-1773.000,566
-1771.000,572
-1769.000,561
-1767.000,537
-1765.000,575
-1763.000,534
-1761.000,556
-1759.000,567
-1757.000,541
-1755.000,576
-1753.000,549
-1751.000,515
-1749.000,566
-1747.000,534
-1745.000,548
-1743.000,590
-1741.000,501
-1739.000,559
-1737.000,561
-1735.000,527
-1733.000,558
-1731.000,533
-1729.000,579
-1727.000,578
-1725.000,565
-1723.000,546
-1721.000,558
-1719.000,538
-1717.000,540
-1715.000,526
-1713.000,563
-1711.000,584
-1709.000,591
-1707.000,548
-1705.000,541
-1703.000,557
-1701.000,608
-1699.000,539
-1697.000,539
-1695.000,571
-1693.000,600
-1691.000,582
-1689.000,535
-1687.000,553
-1685.000,555
-1683.000,558
-1681.000,529
-1679.000,547
-1677.000,546
-1675.000,570
-1673.000,556
-1671.000,513
-1669.000,573
-1667.000,575
-1665.000,515
-1663.000,585
-1661.000,549
-1659.000,567
-1657.000,555
-1655.000,548
-1653.000,548
-1651.000,557
-1649.000,519
-1647.000,533
-1645.000,566
-1643.000,512
-1641.000,501
-1639.000,623
-1637.000,546
-1635.000,513
-1633.000,569
-1631.000,577
-1629.000,540
-1627.000,540
-1625.000,565
-1623.000,581
-1621.000,575
-1619.000,588
-1617.000,519
-1615.000,577
-1613.000,565
-1611.000,542
-1609.000,555
-1607.000,557
-1605.000,583
-1603.000,549
-1601.000,587
-1599.000,583
-1597.000,593
-1595.000,552
-1593.000,553
-1591.000,574
-1589.000,563
-1587.000,532
-1585.000,567
-1583.000,583
-1581.000,535
-1579.000,553
-1577.000,547
-1575.000,540
-1573.000,497
-1571.000,538
-1569.000,550
-1567.000,578
-1565.000,546
-1563.000,559
-1561.000,523
-1559.000,564
-1557.000,559
-1555.000,542
-1553.000,533
-1551.000,598
-1549.000,573
-1547.000,568
-1545.000,570
-1543.000,565
-1541.000,580
-1539.000,589
-1537.000,543
-1535.000,599
-1533.000,559
-1531.000,577
-1529.000,554
-1527.000,585
-1525.000,575
-1523.000,568
-1521.000,510
-1519.000,592
-1517.000,549
-1515.000,550
-1513.000,577
-1511.000,554
-1509.000,570
-1507.000,577
-1505.000,490
-1503.000,575
-1501.000,530
-1499.000,590
-1497.000,539
-1495.000,554
-1493.000,543
-1491.000,557
-1489.000,518
-1487.000,564
-1485.000,546
-1483.000,514
-1481.000,573
-1479.000,567
-1477.000,494
-1475.000,555
-1473.000,583
-1471.000,544
-1469.000,549
-1467.000,554
-1465.000,558
-1463.000,563
-1461.000,548
-1459.000,516
-1457.000,588
-1455.000,573
-1453.000,541
-1451.000,557
-1449.000,600
-1447.000,535
-1445.000,531
-1443.000,561
-1441.000,556
-1439.000,549
-1437.000,541
-1435.000,564
-1433.000,574
-1431.000,600
-1429.000,555
-1427.000,563
-1425.000,580
-1423.000,570
-1421.000,542
-1419.000,580
-1417.000,589
-1415.000,590
-1413.000,607
-1411.000,528
-1409.000,546
-1407.000,585
-1405.000,545
-1403.000,576
-1401.000,514
-1399.000,609
-1397.000,549
-1395.000,551
-1393.000,587
-1391.000,570
-1389.000,554
-1387.000,567
-1385.000,557
-1383.000,590
-1381.000,511
-1379.000,579
-1377.000,551
-1375.000,573
-1373.000,558
-1371.000,556
-1369.000,601
-1367.000,591
-1365.000,539
-1363.000,556
-1361.000,560
-1359.000,581
-1357.000,576
-1355.000,565
-1353.000,580
-1351.000,569
-1349.000,553
-1347.000,628
-1345.000,541
-1343.000,592
-1341.000,582
-1339.000,533
-1337.000,559
-1335.000,603
-1333.000,521
-1331.000,593
-1329.000,562
-1327.000,563
-1325.000,542
-1323.000,575
-1321.000,522
-1319.000,558
-1317.000,556
-1315.000,578
-1313.000,576
-1311.000,581
-1309.000,575
-1307.000,594
-1305.000,546
-1303.000,565
-1301.000,554
-1299.000,584
-1297.000,576
-1295.000,516
-1293.000,559
-1291.000,592
-1289.000,518
-1287.000,585
-1285.000,561
-1283.000,489
-1281.000,578
-1279.000,573
-1277.000,530
-1275.000,585
-1273.000,565
-1271.000,572
-1269.000,521
-1267.000,572
-1265.000,548
-1263.000,539
-1261.000,541
-1259.000,529
-1257.000,559
-1255.000,538
-1253.000,495
-1251.000,536
-1249.000,532
-1247.000,543
-1245.000,546
-1243.000,531
-1241.000,547
-1239.000,583
-1237.000,516
-1235.000,576
-1233.000,528
-1231.000,523
-1229.000,546
-1227.000,544
-1225.000,527
-1223.000,577
-1221.000,526
-1219.000,583
-1217.000,576
-1215.000,530
-1213.000,558
-1211.000,563
-1209.000,529
-1207.000,592
-1205.000,542
-1203.000,569
-1201.000,564
-1199.000,551
-1197.000,551
-1195.000,588
-1193.000,547
-1191.000,561
-1189.000,547
-1187.000,537
-1185.000,545
-1183.000,564
-1181.000,537
-1179.000,593
-1177.000,589
-1175.000,570
-1173.000,554
-1171.000,559
-1169.000,604
-1167.000,574
-1165.000,530
-1163.000,607
-1161.000,574
-1159.000,570
-1157.000,555
-1155.000,545
-1153.000,574
-1151.000,570
-1149.000,514
-1147.000,588
-1145.000,544
-1143.000,574
-1141.000,551
-1139.000,538
-1137.000,587
-1135.000,568
