Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,11174.62363659742,12438.905872854792
-190.0,-9.5,11264.211295635554,11905.69251457295
-180.0,-9.0,11127.455795797212,11771.357405660445
-170.0,-8.5,11233.967043007315,11336.464926383145
-160.0,-8.0,11192.06384277262,11150.239242594986
-150.0,-7.5,11295.464518442805,10677.121476662745
-140.0,-7.0,11052.842460021897,10412.920102576005
-130.0,-6.5,10901.115418372581,10216.436998814397
-120.0,-6.0,10913.155988066164,9730.449427783133
-110.0,-5.5,10695.613674420756,9737.93111110442
-100.0,-5.0,10510.000878821847,9686.604637178643
-90.0,-4.5,10786.922028405008,9714.497243140728
-80.0,-4.0,10840.397592373898,9798.166529085058
-70.0,-3.5,11000.398168582293,9737.208839478055
-60.0,-3.0,10910.208773456032,9745.84279106585
-50.0,-2.5,11415.792227680748,9845.560710624268
-40.0,-2.0,11707.225404466853,10373.465666158267
-30.0,-1.5,11818.535343011303,11054.508815786328
-20.0,-1.0,11817.783449663542,11412.812677245165
-10.0,-0.5,11401.256536210967,12064.247617422572
0.0,0.0,11436.983782466245,12300.208727133977
10.0,0.5,11341.817351389265,12620.805172670096
20.0,1.0,11233.37282362071,12703.178509997428
30.0,1.5,11026.88720806918,12962.092474159863
40.0,2.0,10986.200725554732,12965.947556809519
50.0,2.5,10769.306112846498,12949.246993439328
60.0,3.0,10803.402450460708,12917.522554266676
70.0,3.5,10583.665733747786,12882.083318119074
80.0,4.0,10938.178941195922,13114.272577545915
90.0,4.5,10372.753146780004,13025.669378658
100.0,5.0,10214.720166930589,12824.894251102893
110.0,5.5,9946.267268344292,12346.507053361443
120.0,6.0,9920.070414932514,12029.030430943038
130.0,6.5,10009.732098682329,12013.867743055149
140.0,7.0,10121.334574140701,11879.229623111243
150.0,7.5,10657.225770164629,11775.582764438277
160.0,8.0,11369.768593181616,12140.819578456007
170.0,8.5,11804.838609497521,11967.053134311895
180.0,9.0,11977.653256822747,11827.38525733951
190.0,9.5,12160.769371658083,12046.317413417582
200.0,10.0,12505.281450768469,12260.43114538093
