Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,11201.09242427767,72899.58136819706
-190.0,-9.5,10631.172206028077,74054.77209432726
-180.0,-9.0,10065.666014724178,76965.89538716426
-170.0,-8.5,9457.42327519573,80359.72258246898
-160.0,-8.0,9339.642622052595,83014.73681172673
-150.0,-7.5,8757.863292648484,85086.62273503123
-140.0,-7.0,8505.617427661953,87129.11389996739
-130.0,-6.5,7863.900112590371,88109.50448730287
-120.0,-6.0,7729.278297646927,90566.848562544
-110.0,-5.5,7638.7077350044265,92869.76644442971
-100.0,-5.0,7399.571798864594,91696.53729918518
-90.0,-4.5,7815.960734572639,92780.83566146377
-80.0,-4.0,7959.882510419151,90083.61658296942
