Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,4591485.04776718,1513500.0039290232
-190.0,-9.5,4615044.354360056,1528629.657649693
-180.0,-9.0,4729362.831404683,1546681.482958507
-170.0,-8.5,4939896.428920295,1539769.435184612
-160.0,-8.0,5017212.826337665,1536026.9879148016
-150.0,-7.5,5142491.369865747,1481439.7658670694
-140.0,-7.0,5160518.30356086,1471066.9557085733
-130.0,-6.5,5153572.903941445,1455997.0145193604
-120.0,-6.0,5024119.766850106,1423344.3466141936
-110.0,-5.5,4929989.655119386,1457865.086858629
-100.0,-5.0,4950421.849159842,1489663.6378162755
-90.0,-4.5,4998455.330428683,1508573.0405610632
-80.0,-4.0,5011647.109042854,1500653.0082378562
-70.0,-3.5,5130368.066411651,1487158.4318257363
-60.0,-3.0,5084208.209120139,1486396.0037469473
-50.0,-2.5,5134215.317404371,1514892.6859098407
-40.0,-2.0,5138813.410327649,1507663.1365338976
-30.0,-1.5,4954003.395075341,1462848.4624496335
-20.0,-1.0,5176592.469181409,1471454.2441330971
-10.0,-0.5,5185565.3443586305,1469399.124586624
0.0,0.0,5131867.335800143,1459996.7791164014
10.0,0.5,5087515.466446141,1448177.7184684756
20.0,1.0,5114826.429566161,1463409.2575315326
30.0,1.5,5123792.464267571,1480913.9482225173
40.0,2.0,5109882.541976148,1496698.8909945404
50.0,2.5,5164565.603922877,1515731.690132829
60.0,3.0,5328840.95662216,1555826.2907285746
70.0,3.5,5409222.94716234,1563084.5655465084
80.0,4.0,5498231.994844156,1573344.2948673496
90.0,4.5,5567448.857851755,1589670.859484266
100.0,5.0,5581033.973353116,1601568.9501541369
110.0,5.5,5540243.586736812,1586096.593558457
120.0,6.0,5487749.49018001,1573355.3555446577
130.0,6.5,5440521.738944571,1569971.919018914
140.0,7.0,5448048.702092721,1566706.0193062918
150.0,7.5,5491594.283684592,1580330.141920762
160.0,8.0,5527774.674885131,1589453.6911343653
170.0,8.5,5388349.742189759,1563524.2841552729
180.0,9.0,5282333.1497826325,1559038.539121363
190.0,9.5,5318534.866164159,1545921.81330271
200.0,10.0,5276504.034011086,1534823.520097049
