Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,10366.83266266824,4192.498353213432
-190.0,-9.5,10451.638778341605,4457.521432888217
-180.0,-9.0,10081.09236695539,4689.921115954086
-170.0,-8.5,9845.65289161817,5056.709805825529
-160.0,-8.0,9461.880799556557,5379.757928555365
-150.0,-7.5,9022.007609151191,5774.562435323502
-140.0,-7.0,8607.062510011907,5951.077918673512
-130.0,-6.5,8327.263445018383,6031.391911755305
-120.0,-6.0,8156.9638150421115,5989.664198778636
-110.0,-5.5,7634.824673805072,5974.690720486487
-100.0,-5.0,7721.9347035284245,6039.79115506709
-90.0,-4.5,8037.433608105291,6039.764752420748
-80.0,-4.0,8188.201246966356,5891.36501969383
-70.0,-3.5,8327.888608811283,5840.673670407339
-60.0,-3.0,8671.587596969808,5678.914869608038
-50.0,-2.5,9202.852993083314,5379.195460972781
-40.0,-2.0,9515.778575187962,5292.070041814756
-30.0,-1.5,9878.0043560299,5019.643011802334
-20.0,-1.0,10535.625635395769,4696.760021218453
-10.0,-0.5,11183.055234478306,4369.966344517275
0.0,0.0,12168.256817001553,4226.20840148987
10.0,0.5,12641.150810826175,4000.7923975074423
20.0,1.0,13654.373849245401,3827.8826316931127
30.0,1.5,14049.521977766417,3676.5569198191865
40.0,2.0,14808.904216146982,3618.361687550869
50.0,2.5,15441.123860726693,3475.919678128397
60.0,3.0,15293.416295987152,3331.623557840992
70.0,3.5,15157.16792003481,3212.3523108050927
80.0,4.0,14968.455911539304,3342.80910690776
90.0,4.5,14637.07170060549,3294.162433333576
100.0,5.0,13996.525961993628,3513.0722534087595
110.0,5.5,13304.177960914172,3599.6497055479717
120.0,6.0,12414.592414490533,3755.4490610495586
130.0,6.5,12134.735790576926,4071.1301811346448
140.0,7.0,11187.129239593596,4387.089995318702
150.0,7.5,10632.632693685395,4745.39668677016
160.0,8.0,9572.688051244693,4822.137209029576
170.0,8.5,9237.448617446296,5126.385816794012
180.0,9.0,8748.429376616494,5288.058926045339
190.0,9.5,8022.180961961211,5400.885048230277
200.0,10.0,7518.427655796506,5522.7281047869055
