Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,15953078.35098849,2238052.2664462985
-190.0,-9.5,15781837.652260823,2449627.50158203
-180.0,-9.0,15475983.922413534,2881690.3783002747
-170.0,-8.5,15530153.004189134,3421425.5442455173
-160.0,-8.0,15166300.651307179,3898993.847525528
-150.0,-7.5,14770801.892666582,4332450.424813584
-140.0,-7.0,14326780.404231297,4510123.538226911
-130.0,-6.5,14229668.026080674,4729581.372453329
-120.0,-6.0,14120584.311139205,4945917.78557357
-110.0,-5.5,14197246.492546938,5102728.412229708
-100.0,-5.0,14090233.887724388,5274231.377573683
-90.0,-4.5,13910146.180559717,5305254.484386066
-80.0,-4.0,13873979.27760463,5349259.049643637
-70.0,-3.5,13971282.582744526,5310280.228847379
-60.0,-3.0,14010960.963413088,5169657.309889668
-50.0,-2.5,14110660.41648638,5042155.054545181
-40.0,-2.0,14390763.344157295,4892958.164481151
-30.0,-1.5,14521119.05786518,4549808.808969233
-20.0,-1.0,14881234.647668784,4136520.2466234784
-10.0,-0.5,14966209.77472409,3618554.228300943
0.0,0.0,15164540.829502486,3123290.339789963
10.0,0.5,15016404.506659416,2524648.399685795
20.0,1.0,15121084.62305762,1961904.377900885
30.0,1.5,15143015.661480935,1420366.6688142614
40.0,2.0,15191566.08270834,939266.7899799772
50.0,2.5,15283824.77575598,592350.1829181365
60.0,3.0,15279973.088149173,312383.60548770335
70.0,3.5,15220395.340271937,169036.04088084676
80.0,4.0,15388915.319067419,103566.7233551561
90.0,4.5,15387670.329769883,136986.80030531317
100.0,5.0,15391406.05084637,264742.6740076009
110.0,5.5,15710236.849119741,512024.08068948175
120.0,6.0,15806151.509426307,824707.277361397
130.0,6.5,15737305.867521787,1227870.5007720725
140.0,7.0,15669359.630569624,1664852.0662203333
150.0,7.5,15445650.602079406,2083617.2827383725
160.0,8.0,15233201.048819013,2607651.3591801533
170.0,8.5,15085972.12218108,3131358.5361757493
180.0,9.0,14973551.78610805,3579322.599353698
190.0,9.5,14759440.52722294,3963118.1212104517
200.0,10.0,14347308.692313336,4344619.984488292
