Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,8370.952555928574,13927.052957237629
-190.0,-9.5,7726.672278047268,14816.339499035377
-180.0,-9.0,6840.4674965739105,15780.257744933964
-170.0,-8.5,6086.347895487279,16924.10869662729
-160.0,-8.0,5288.209402755339,18412.683181172786
-150.0,-7.5,4633.856205354842,19551.350779260745
-140.0,-7.0,3830.2745538651243,20502.76607775608
-130.0,-6.5,3424.5689697942594,21348.104501508624
-120.0,-6.0,3083.112720136117,21996.651255956614
-110.0,-5.5,2914.2937846907507,22211.53691911161
-100.0,-5.0,2926.325281736471,23503.169686273228
-90.0,-4.5,3162.796122969797,23430.3678801378
-80.0,-4.0,3424.542641785247,22890.67834453778
-70.0,-3.5,3839.095395607474,22396.21695248158
-60.0,-3.0,4428.280077494703,21738.286557087955
-50.0,-2.5,5190.631775464775,20710.76015664925
-40.0,-2.0,5771.203149066326,19226.726462118862
-30.0,-1.5,6610.067980415427,17315.731295376976
-20.0,-1.0,7603.799372533901,15218.542326527684
-10.0,-0.5,8694.80719063166,12954.097830906736
0.0,0.0,9526.126451840208,10982.805909276396
10.0,0.5,10508.24252401689,9096.524106294868
20.0,1.0,11338.395190529722,7442.873558128039
30.0,1.5,11870.75798140132,5810.428883624768
40.0,2.0,12507.771291080326,5029.801323455617
50.0,2.5,12773.62002745844,4049.2256070215326
60.0,3.0,12988.688068181753,3732.0956444472895
70.0,3.5,13093.459769413343,3892.0045384222417
80.0,4.0,13130.009768057545,4114.812209953206
90.0,4.5,12391.233309541636,4877.262689111898
100.0,5.0,12546.715488096064,5689.569673142174
110.0,5.5,12216.746573429997,7171.866942007886
120.0,6.0,11465.119670927465,8810.59461125531
130.0,6.5,10688.215127278794,10484.127561975874
140.0,7.0,9543.054457886632,12189.422611153474
150.0,7.5,9143.142951108315,13975.548861896617
160.0,8.0,7743.3946511837,15498.732841675139
170.0,8.5,6946.764953486977,17623.149595509865
180.0,9.0,6099.19229499837,19436.19894528854
190.0,9.5,5239.388173399453,21011.310428988952
200.0,10.0,4547.299684784835,22769.363270529062
