Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,8558.04928219669,4812.28602394622
-190.0,-9.5,7988.690664611316,5130.114468394065
-180.0,-9.0,7203.686139519416,5335.4009419822205
-170.0,-8.5,6618.351110682991,5908.530962981882
-160.0,-8.0,5736.501506020261,6361.50548689825
-150.0,-7.5,4881.137097092344,6462.406586853759
-140.0,-7.0,4201.271862048334,6977.911636373908
-130.0,-6.5,3662.716738253996,7340.3630284302235
-120.0,-6.0,3032.6010587449127,7461.034909466309
-110.0,-5.5,2902.600489070713,7736.619404362287
-100.0,-5.0,2872.2995708771227,7821.967172232746
-90.0,-4.5,2938.948885135317,7683.26630316446
-80.0,-4.0,3286.393573962775,7483.462532594217
-70.0,-3.5,3621.2358589947526,7283.305235651437
-60.0,-3.0,4633.643997930379,7025.619621351797
-50.0,-2.5,5286.5675990061945,6720.938510353949
-40.0,-2.0,6428.659343405189,6138.120954877978
-30.0,-1.5,7445.673954331033,5555.388548010895
-20.0,-1.0,8354.964203784455,4979.52282006031
-10.0,-0.5,9665.282855151334,4408.690593937439
0.0,0.0,10342.438002317309,3856.519174266702
10.0,0.5,11173.289937869169,3191.942260359847
20.0,1.0,12145.475452252756,2678.6514761153876
30.0,1.5,12837.77031549035,2271.3437633702106
40.0,2.0,13134.160101529578,1967.4370753692965
50.0,2.5,13766.93045421607,1612.7913757522765
60.0,3.0,14632.30754514602,1511.5937949589775
70.0,3.5,15256.032715893989,1551.6802586168271
80.0,4.0,14502.087691887771,1590.2241221187578
90.0,4.5,14557.976266924039,1849.2322351777443
100.0,5.0,14205.830570867487,2110.0231773445716
110.0,5.5,13610.096853881136,2441.7148820719976
120.0,6.0,12119.280810186805,2846.089117133434
130.0,6.5,11971.593894036288,3640.4555854391074
140.0,7.0,11112.57647711681,4086.7785504764142
150.0,7.5,10049.664420829777,4731.886929613704
160.0,8.0,9102.739493185054,5357.305174759792
170.0,8.5,7995.794767970232,6447.99682645477
180.0,9.0,6940.030631942592,6797.727164726103
190.0,9.5,5990.090968335396,7785.724751465515
200.0,10.0,5124.503961571731,8173.1461669710625
