Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,297238.9130221763,3599593.7698172852
-190.0,-9.5,299854.3341595684,4030731.5461843973
-180.0,-9.0,297637.39011533547,4661455.649734942
-170.0,-8.5,304253.90380312776,5311208.818483459
-160.0,-8.0,305997.699738952,5899469.440239441
-150.0,-7.5,306520.3410205937,6374497.4780800715
-140.0,-7.0,315667.3959307868,6825585.281455623
-130.0,-6.5,314307.4022334884,7182126.018196039
-120.0,-6.0,313197.7194229053,7340132.481973325
-110.0,-5.5,309508.5418353204,7344495.351698699
-100.0,-5.0,312667.852452162,7323021.017716089
-90.0,-4.5,306935.5753236039,7099054.166183372
-80.0,-4.0,301513.88327181654,6917877.429208765
-70.0,-3.5,306005.3571319491,6709952.542155749
-60.0,-3.0,302822.7081658601,6386851.956234545
-50.0,-2.5,299139.7305084703,6086164.438846368
-40.0,-2.0,313700.1487175803,5804928.072768858
-30.0,-1.5,310477.74511548463,5271054.003402631
-20.0,-1.0,314116.3209671789,4623977.209650683
-10.0,-0.5,318774.43792264734,3939133.429880024
0.0,0.0,325017.6591225099,3336877.627469402
10.0,0.5,326181.9632302963,2588176.3080630614
20.0,1.0,335375.68928266305,1854085.6382377583
30.0,1.5,335553.2316585387,1185038.537222545
