Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,729.8777290673903,6436.466085527436
-190.0,-9.5,761.5297849179906,6783.090136511356
-180.0,-9.0,673.0844673743031,6825.434946524923
-170.0,-8.5,632.1950768680693,6776.93210746606
-160.0,-8.0,660.7363588233608,6886.982438880242
-150.0,-7.5,620.7152370275923,6856.714950049989
-140.0,-7.0,609.65191360612,7118.904400640469
-130.0,-6.5,624.8932183724718,7292.742671101665
-120.0,-6.0,552.7782185131274,7386.312195483519
-110.0,-5.5,577.1302773929201,7275.821703960399
-100.0,-5.0,565.245783415011,7493.4872343574525
-90.0,-4.5,543.2353125314635,7163.542582832485
-80.0,-4.0,513.4197576233856,7222.701590287124
-70.0,-3.5,603.9120167235042,7043.982007252734
-60.0,-3.0,572.6814256727596,7055.117007940801
-50.0,-2.5,574.1567756536195,7030.186516452031
-40.0,-2.0,665.5875326930101,6951.360375076325
-30.0,-1.5,630.9942588793409,6650.321195318227
-20.0,-1.0,618.866493271626,6439.395409089974
-10.0,-0.5,690.4109676245384,6252.497019481591
0.0,0.0,682.018012644632,6101.32318465154
10.0,0.5,617.9685551907187,6044.3494432019725
20.0,1.0,680.151525417198,5685.190422557516
30.0,1.5,660.5969348937928,5484.745334441986
40.0,2.0,702.7808421067266,5589.397207406898
50.0,2.5,694.9783729990573,5428.3984091559605
60.0,3.0,721.3969827962766,5432.865553196787
70.0,3.5,690.5343462016049,5794.916473023267
80.0,4.0,682.3295667755203,5648.891931655438
90.0,4.5,705.2554461851811,5869.834115569469
100.0,5.0,635.2740390492055,5868.816906200655
110.0,5.5,802.5817074351502,6021.849118364107
120.0,6.0,733.6110836713805,6002.27250276584
130.0,6.5,722.1727013646104,6091.715734375859
140.0,7.0,767.332534098114,6216.2892451061225
150.0,7.5,726.9783146463142,6413.342940167484
160.0,8.0,665.8021522507548,6617.217504208174
170.0,8.5,731.285581213164,6507.944199612662
180.0,9.0,714.3044033581258,6670.48889208389
190.0,9.5,743.2931968110886,6566.25409070465
200.0,10.0,696.2089335616571,6608.0173636909285
