Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,162.26379294949265,2089.519640496841
-190.0,-9.5,191.0752721230751,1953.545620716648
-180.0,-9.0,204.92001007757298,1801.5055254877898
-170.0,-8.5,202.02285586567345,1587.322438944577
-160.0,-8.0,217.97751109562572,1520.8659221649136
-150.0,-7.5,217.101071308478,1344.4332397543362
-140.0,-7.0,249.73066897157304,1156.1236547608282
-130.0,-6.5,239.71898964840236,967.8281200327614
-120.0,-6.0,214.0753656678914,895.1337383043458
-110.0,-5.5,234.00701464624618,877.2773612908207
-100.0,-5.0,199.88975234168862,902.9845528669316
-90.0,-4.5,215.85446040076005,919.1222184806556
-80.0,-4.0,207.79793052250957,1039.9839010839476
-70.0,-3.5,191.990494781139,1142.9900440597344
-60.0,-3.0,199.13142852816972,1237.6018283025749
-50.0,-2.5,148.39973789038027,1427.2270093752682
-40.0,-2.0,168.12584649171154,1600.6774379003778
-30.0,-1.5,159.14863438222326,1738.698830625789
-20.0,-1.0,150.1659781699005,1958.1245762684377
-10.0,-0.5,116.40272596446995,2203.692632575222
0.0,0.0,121.4532417896958,2493.7735301900652
10.0,0.5,127.39506452734344,2698.187655731469
20.0,1.0,117.3594404380983,2765.9034225284013
30.0,1.5,108.49385446834832,2859.6591182345387
40.0,2.0,124.3277721736348,3099.2427047443684
50.0,2.5,116.37857332848756,3187.977158271817
60.0,3.0,106.49316706630803,3230.624488759214
70.0,3.5,116.38106223680622,3265.6327121661093
80.0,4.0,100.49269278602362,3118.258407835624
90.0,4.5,109.50630179046846,2998.481645389918
100.0,5.0,103.51819525864434,3004.018397024891
110.0,5.5,110.47594629767771,2706.1630448953665
120.0,6.0,118.40146872656388,2585.9278758011724
130.0,6.5,164.18013367358563,2367.179018239153
140.0,7.0,189.20528106382378,2185.818904921543
150.0,7.5,184.09995371968915,1899.712495410198
160.0,8.0,193.08800672808155,1683.050615346319
170.0,8.5,201.034531658855,1463.9692874761174
180.0,9.0,217.9073038252621,1328.3390438663237
190.0,9.5,219.90500502584396,1225.8957746237095
200.0,10.0,223.01742980324067,1137.986260112072
