Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,707.9035744273573,5972.439285934178
-190.0,-9.5,687.6627725308825,6230.7621111662165
-180.0,-9.0,677.8978715253683,6605.771329577597
-170.0,-8.5,597.1665046275538,6448.402972469868
-160.0,-8.0,584.4533031761403,7105.040496533112
-150.0,-7.5,499.77928070722356,7224.896892614186
-140.0,-7.0,488.47886285981104,7416.7208199997785
-130.0,-6.5,398.20092818267375,7453.325873259196
-120.0,-6.0,384.20124663805603,7817.4004950655235
-110.0,-5.5,430.1117663771059,7869.452318158899
-100.0,-5.0,379.18140801795926,8207.635359380865
-90.0,-4.5,386.1453823812575,8333.972763042913
-80.0,-4.0,388.15838253920964,8338.43827926538
-70.0,-3.5,427.7804610593967,8162.64809998221
-60.0,-3.0,473.856321393207,7847.498700719854
-50.0,-2.5,457.62847770510945,7611.5553976560695
-40.0,-2.0,506.3704183782346,7125.994708925922
-30.0,-1.5,557.2408775280138,6582.407865799663
-20.0,-1.0,627.2463883448613,6218.699907304768
-10.0,-0.5,620.4509393087774,5920.675496293228
0.0,0.0,724.6821154478538,5410.22980420204
10.0,0.5,680.2673052771146,4836.461850237731
20.0,1.0,741.4779058259035,4345.359109846838
30.0,1.5,804.26635424344,4146.7495442799145
40.0,2.0,805.3628203934481,3925.272683326781
50.0,2.5,810.0265766481032,3682.934103408636
60.0,3.0,839.0334692529772,3850.7953648158586
70.0,3.5,801.2410577153508,3761.3539839829946
80.0,4.0,883.0161841737436,3771.9823245031725
90.0,4.5,882.680953819943,3868.07313133948
100.0,5.0,838.6074136487208,4231.87992944586
110.0,5.5,781.5723363749396,4407.669723734851
120.0,6.0,853.616775348301,4776.070522514706
130.0,6.5,782.4123265250709,4911.47890467519
140.0,7.0,791.3196514142542,5261.529153931758
150.0,7.5,707.8266009797472,5796.01472700997
160.0,8.0,708.6058488201717,6090.82555446552
170.0,8.5,668.3460186005314,6422.88480375332
180.0,9.0,609.0894659478184,6561.645178094717
190.0,9.5,545.297668335986,7088.8696883678185
200.0,10.0,569.3850989076645,7016.775458391831
