Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,938.5356576048683,7897.021958003675
-190.0,-9.5,963.5532979021824,7782.086449379402
-180.0,-9.0,993.6357531278172,7430.364354301502
-170.0,-8.5,1050.4093957136556,7020.319098745958
-160.0,-8.0,1057.163056242584,6735.1838404306245
-150.0,-7.5,1137.098459067925,6217.729981779991
-140.0,-7.0,1106.374748286428,6039.293814836887
-130.0,-6.5,1201.7103115627433,5864.1870216276375
-120.0,-6.0,1173.6065736861206,5774.462878671065
-110.0,-5.5,1209.1174019844755,5699.271902193491
-100.0,-5.0,1121.2832100297233,5434.140743456661
-90.0,-4.5,1251.3897836721865,5493.979153594186
-80.0,-4.0,1206.277539937704,5348.6266498557925
-70.0,-3.5,1198.880779032754,5473.627609919476
-60.0,-3.0,1085.6037893550201,5603.1484306673865
-50.0,-2.5,1070.8671196580237,5926.59265572819
-40.0,-2.0,1024.8956099331624,6307.585700355647
-30.0,-1.5,1010.207876862079,6844.531595251741
-20.0,-1.0,956.2469745122118,7215.137161486002
-10.0,-0.5,891.5645554517471,7396.204621286647
0.0,0.0,825.5419906759932,7983.886215850841
10.0,0.5,718.438413388257,8217.263736510009
20.0,1.0,675.6734568679765,8482.239390784436
30.0,1.5,574.1855148211998,8730.207143026664
40.0,2.0,591.0891224998891,8683.238523457967
50.0,2.5,515.5856156614193,9052.60844486604
60.0,3.0,601.8875791233875,9252.15617495455
70.0,3.5,586.1630295146803,9136.77890318214
80.0,4.0,577.9966140028605,9304.651171719026
90.0,4.5,577.4580297579789,9186.560759615297
100.0,5.0,686.7435308384697,9176.486020769118
110.0,5.5,704.6354362295717,8522.306836770937
120.0,6.0,826.4224461386732,8508.869373240057
130.0,6.5,868.4322203054004,8191.912181231354
140.0,7.0,935.7979925829849,7834.449081369558
150.0,7.5,1116.9894089862532,7408.765759069248
160.0,8.0,1181.8398959206577,7076.1171546158575
170.0,8.5,1260.5955442924123,6537.784784171619
180.0,9.0,1359.4457045273796,6180.203385882158
190.0,9.5,1378.9465505684625,5847.0915423454935
200.0,10.0,1402.107084151805,5560.629231465682
