Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,12586.186665346995,13079.840673413744
-190.0,-9.5,11747.122143428915,13974.715717144718
-180.0,-9.0,11100.800524263683,14520.412376636825
-170.0,-8.5,10242.484424244607,15124.360442213685
-160.0,-8.0,9932.231344662696,16075.633163142391
-150.0,-7.5,9573.544029021748,17042.957784596445
-140.0,-7.0,8914.908644313346,17319.34199735169
-130.0,-6.5,8577.827113417856,18081.10425183323
-120.0,-6.0,8444.18796738035,18851.423284783254
-110.0,-5.5,7929.211755798557,18835.236912073262
-100.0,-5.0,7861.388602272531,18455.44129431398
-90.0,-4.5,8020.689096368115,19951.650828544745
-80.0,-4.0,8253.588445164109,20086.21940235417
-70.0,-3.5,8457.905026251545,20129.953318334115
-60.0,-3.0,8680.75246811765,19450.855100481378
-50.0,-2.5,9135.21763210842,19134.72531563788
-40.0,-2.0,9594.567801741032,18509.354503006012
-30.0,-1.5,10045.041504663433,17558.923581051928
-20.0,-1.0,10431.951634237335,16618.306856257168
-10.0,-0.5,11271.796378109933,15867.289948703354
0.0,0.0,11436.379850647298,14268.851964035359
10.0,0.5,11485.159307977665,12583.246765846146
20.0,1.0,11978.810761285731,11816.585258287263
30.0,1.5,12234.820935741562,10864.664379415331
40.0,2.0,12648.568412296836,10252.259544260749
50.0,2.5,13153.138060329737,10092.1634867679
60.0,3.0,13357.169191076811,9874.334342773984
70.0,3.5,13544.722407687372,9692.142876168566
80.0,4.0,13623.37181861206,9699.25923732642
90.0,4.5,14003.674695830365,10030.224117223968
100.0,5.0,13762.356391011743,10426.419270005717
110.0,5.5,13741.243302567042,11232.613107348596
120.0,6.0,13537.834771194954,12198.075500252364
130.0,6.5,12784.131603278589,13023.85893882093
140.0,7.0,12031.049165792918,14204.303640673012
150.0,7.5,11738.662235404094,15435.972700462715
160.0,8.0,10574.570575866632,16630.119414013487
170.0,8.5,9755.78699575771,17578.720505968642
180.0,9.0,8927.155485825919,18779.5594506241
190.0,9.5,8303.111412984137,19867.981819999062
200.0,10.0,7971.722420672263,20774.429999810083
