Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,5810.630170072743,13765.422671739108
-190.0,-9.5,5242.675337423685,15152.58614424392
-180.0,-9.0,4595.533356118468,16469.48398522318
-170.0,-8.5,4091.5381893913295,18884.175530408924
-160.0,-8.0,3443.385240180966,19928.41781716069
-150.0,-7.5,2676.974079037833,21542.27169035244
-140.0,-7.0,2383.2823538169228,23460.65335014103
-130.0,-6.5,1878.4283928240402,24857.106688947875
-120.0,-6.0,1615.5596701125849,24803.417028889828
-110.0,-5.5,1346.2316856017198,26120.675691364635
-100.0,-5.0,1317.4244709095703,26837.050910046844
-90.0,-4.5,1236.911673368365,26603.054445559024
-80.0,-4.0,1453.4006042607034,27020.716778185644
-70.0,-3.5,1723.7196656619165,26012.94888404853
-60.0,-3.0,2145.2533534106574,24543.05158405718
-50.0,-2.5,2974.897066187293,23724.50541839927
-40.0,-2.0,3687.923970995838,21586.90054404988
-30.0,-1.5,4465.714173512962,19129.81772433533
-20.0,-1.0,5283.704383219198,17124.53465418039
-10.0,-0.5,5941.5583193732355,14547.809488631234
0.0,0.0,7135.930123448086,11857.09648681601
10.0,0.5,7573.431848203364,9255.64296803942
20.0,1.0,8492.337495714124,6969.1687157307215
30.0,1.5,8878.001757134101,5107.237569964241
40.0,2.0,9361.179769098797,3832.963144968228
50.0,2.5,9995.086031054858,3036.5322085187563
60.0,3.0,10077.884966570373,2508.2780136957163
70.0,3.5,10237.922027218658,2497.563607339556
80.0,4.0,10364.536079945856,3047.398382972277
90.0,4.5,10207.794137094892,3889.8198582033133
100.0,5.0,10136.967464359623,5281.411788459058
110.0,5.5,10023.05980267122,7217.31941717064
120.0,6.0,8774.245378270709,8941.279171307477
130.0,6.5,8213.870021314673,11235.212345237836
140.0,7.0,7604.984480912191,14206.326076676505
150.0,7.5,6398.729167748284,16355.955573219766
160.0,8.0,5503.516495054138,19363.376472376112
170.0,8.5,4411.92478536224,21877.370600463277
180.0,9.0,3585.7697304456115,24238.290226787823
190.0,9.5,2711.0342078542303,26242.49265517634
200.0,10.0,1933.8548005772818,27804.51245956096
