Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,4330.371212295845,9329.249076248665
-190.0,-9.5,4665.157360622902,8681.906578179054
-180.0,-9.0,5256.5434965712275,7589.358504038966
-170.0,-8.5,5910.8468673606285,6579.886634055313
-160.0,-8.0,6665.007546318662,5419.174544229835
-150.0,-7.5,7416.296357581021,4224.371787517287
-140.0,-7.0,7820.73159610439,3237.1599290148342
-130.0,-6.5,8587.737252008983,2345.0056752124665
-120.0,-6.0,9090.946156196014,1558.2490293982885
-110.0,-5.5,9372.30547459888,1012.7108656679835
-100.0,-5.0,9751.487294889039,711.3153862319591
-90.0,-4.5,9820.7765493025,574.0642355331316
-80.0,-4.0,9766.537278584632,675.509708888557
-70.0,-3.5,9197.677313655595,1138.5136168385632
-60.0,-3.0,8721.209645972007,1845.8270244552104
-50.0,-2.5,8065.670981785856,2712.7722512459277
-40.0,-2.0,7656.263898498574,4218.656131206492
-30.0,-1.5,6583.589599551914,5602.568087513499
-20.0,-1.0,5559.7360034838575,7189.330960995599
-10.0,-0.5,4689.420187982328,8974.871651941567
0.0,0.0,3642.6795076996677,10288.256244090293
10.0,0.5,2745.760212892018,11327.255718836419
20.0,1.0,1909.3833904589521,12745.805748712442
30.0,1.5,1292.3423836118473,13473.017823602093
40.0,2.0,811.2978046829027,14335.582435875438
50.0,2.5,447.9853650593134,15032.397805323626
60.0,3.0,254.70791765156514,15523.253637498903
70.0,3.5,201.13433791113448,15474.399730083866
80.0,4.0,283.65970787853036,15142.451914610388
90.0,4.5,480.86179992921166,14714.570192450825
100.0,5.0,848.6229051203117,14525.196978133221
110.0,5.5,1310.5990342476684,13985.69387039995
120.0,6.0,1868.6143240749943,13268.355703695448
130.0,6.5,2710.907401646311,11551.212265384998
140.0,7.0,3479.470427772022,10855.31094280605
150.0,7.5,4309.002159681057,9066.132577244358
160.0,8.0,5323.079471015822,7818.397390581391
170.0,8.5,6356.346713948404,6054.659205438635
180.0,9.0,7378.346086590971,4670.166738195526
190.0,9.5,8014.426964472811,3328.809311786993
200.0,10.0,8600.998742433663,2211.2020369880365
