Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,7229.6310439990275,9916.99699266946
-190.0,-9.5,7109.991488826899,9109.427785166938
-180.0,-9.0,8100.208162292482,8059.413599627699
-170.0,-8.5,8673.197749074627,7050.393397951452
-160.0,-8.0,9942.38667443694,6112.041428012705
-150.0,-7.5,10607.050177644984,4900.6185439020865
-140.0,-7.0,11132.370569824372,3971.7258475079266
-130.0,-6.5,11938.286586479586,3092.1237780296224
-120.0,-6.0,12548.354011681828,2394.8076268824047
-110.0,-5.5,12683.668122380222,1875.9289455226929
-100.0,-5.0,12916.159011217575,1644.9965980077548
-90.0,-4.5,13094.209850211777,1548.3388195857988
-80.0,-4.0,12750.395356878931,1804.7050341183156
-70.0,-3.5,12763.177708907953,2346.99937905365
-60.0,-3.0,12525.141326821196,3067.604918222891
-50.0,-2.5,11444.773518711378,4021.9436289340533
-40.0,-2.0,10587.524530653496,5132.078895696903
-30.0,-1.5,9236.454121582794,6684.040329096275
-20.0,-1.0,7988.957817653671,7946.150940873719
-10.0,-0.5,6744.330462582594,9614.427711230697
0.0,0.0,5587.035291780305,11425.855394536815
10.0,0.5,4604.4217576116,12464.877228407802
20.0,1.0,3695.683873439375,13728.674297427768
30.0,1.5,2776.8955124246586,14328.541885730821
40.0,2.0,2204.841517557799,14960.287481046511
50.0,2.5,1761.1789589427083,15786.929583381361
60.0,3.0,1502.699734462238,16239.108786062781
70.0,3.5,1353.525411214495,15596.3946464282
80.0,4.0,1478.6533110276623,14937.781631996815
90.0,4.5,1665.882848813115,14779.856022075952
100.0,5.0,2148.4545257934333,14231.147833891564
110.0,5.5,2535.8278953573795,13852.046926228386
120.0,6.0,3501.246970963585,13293.797092877363
130.0,6.5,4191.381274345528,11931.458728513155
140.0,7.0,5310.419803890133,11136.163223069716
150.0,7.5,6465.681607339424,9755.273851048918
160.0,8.0,7483.852834261729,8367.701925473913
170.0,8.5,9147.731838342634,6981.504340221666
180.0,9.0,10105.57419604926,5791.10297568006
190.0,9.5,10974.196306643069,4567.439402429262
200.0,10.0,11886.420023976583,3273.04334439931
