Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,1580.7184579858272,11705.672810018394
-190.0,-9.5,1375.499937480702,12730.839146393388
-180.0,-9.0,1186.7901100771787,13937.814388398006
-170.0,-8.5,1018.3759621074549,15460.798697449543
-160.0,-8.0,824.8615870126076,16740.01367901099
-150.0,-7.5,701.8275988340514,18076.291545572632
-140.0,-7.0,536.6348356080973,18814.078828360325
-130.0,-6.5,341.25604513629236,19726.191273811277
-120.0,-6.0,210.96765089545025,20186.22074723683
-110.0,-5.5,118.4328723445576,21142.755799056988
-100.0,-5.0,105.54903120359995,20360.009820943473
-90.0,-4.5,86.47786395382076,19951.536612426324
-80.0,-4.0,157.17697421912015,18937.835811451838
-70.0,-3.5,207.952853422039,18249.106624945536
-60.0,-3.0,335.74980205453244,16888.1154143216
-50.0,-2.5,522.1928479308566,15811.004782302658
-40.0,-2.0,764.4769082189548,14138.841151487024
-30.0,-1.5,1084.693483706209,12624.59931814981
-20.0,-1.0,1231.3791236329437,10508.03397661225
-10.0,-0.5,1456.0034999488273,8489.543956698213
0.0,0.0,1823.4261011656756,6899.772742872409
10.0,0.5,2146.251938302287,5217.303529054864
20.0,1.0,2523.8239335269404,3830.4845515940797
30.0,1.5,2560.603012016712,2591.4656455208014
40.0,2.0,2839.7648269162237,1692.5157570373149
50.0,2.5,3024.2707676715004,1134.1015378768127
60.0,3.0,3065.275946922113,905.6497115906242
70.0,3.5,3166.56237606116,985.8165887737574
80.0,4.0,3050.5890004421217,1443.6534107836412
90.0,4.5,3073.8684342553465,2230.4714262170314
100.0,5.0,3015.4608006882177,3405.322487320731
110.0,5.5,2808.2971600734154,4743.167148150919
120.0,6.0,2650.3174359745867,6633.257871111761
130.0,6.5,2440.631611334362,8519.824087996796
140.0,7.0,2068.36514157372,10149.7205720054
150.0,7.5,1810.8414350639816,12361.307366239396
160.0,8.0,1500.7097023812605,14102.49150692629
170.0,8.5,1216.7057483325455,16389.683570623594
180.0,9.0,1014.2539002906915,18415.824988398796
190.0,9.5,786.2614056415371,19488.334916287262
200.0,10.0,545.4116943016058,20962.520265292744
