Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,515.2261256361676,4476.897280865619
-190.0,-9.5,460.86403345628247,4677.3220155746685
-180.0,-9.0,389.8389666909833,5205.145795052568
-170.0,-8.5,387.77510156440104,5723.162781037672
-160.0,-8.0,302.4280094502334,6282.344998941526
-150.0,-7.5,240.81804097229076,6836.446039172056
-140.0,-7.0,201.02934989129133,7359.4655566638585
-130.0,-6.5,167.2289075153064,7803.02027388385
-120.0,-6.0,133.2510094066273,8341.115424647685
-110.0,-5.5,89.54201943795182,8602.998245332994
-100.0,-5.0,106.50012038488093,8714.09863523021
-90.0,-4.5,88.59436184991362,8752.92386231787
-80.0,-4.0,84.63712677841087,8432.84501983955
-70.0,-3.5,102.55499337491575,8264.140242833017
-60.0,-3.0,125.39687862422646,7955.735299381478
-50.0,-2.5,167.22437989333838,7222.500598250377
-40.0,-2.0,227.89090058288056,6526.23810490188
-30.0,-1.5,293.64991515964005,5633.101253858994
-20.0,-1.0,358.06929035804643,4881.677991881366
-10.0,-0.5,472.79507289601946,4078.977281532395
0.0,0.0,536.653749808102,3425.0257872724883
10.0,0.5,589.4627753393489,2698.3853398135734
20.0,1.0,581.7263226241959,2066.9214374061758
30.0,1.5,692.5736304303607,1677.6999150942358
40.0,2.0,748.3864906844112,1235.036748589567
50.0,2.5,802.7559028150026,1013.9026167067899
60.0,3.0,819.5554086261479,868.3503235990291
70.0,3.5,790.8224016249707,840.5596595888053
80.0,4.0,845.2649432662478,985.6446334906776
90.0,4.5,792.3808007156964,1173.639402065083
100.0,5.0,816.7503661391003,1498.2046911150853
110.0,5.5,781.5682121192096,1982.295936725282
120.0,6.0,750.4769609500329,2586.8562619484555
130.0,6.5,727.2260603231414,3273.0146901000485
140.0,7.0,598.1025520066319,3839.4004087214407
150.0,7.5,558.6125733141859,4751.188790821722
160.0,8.0,502.59958442058,5424.0945249349725
170.0,8.5,387.8668872345519,5856.7899972417335
180.0,9.0,375.3975779337678,6551.036247284505
190.0,9.5,315.19440884034304,7226.602408364711
200.0,10.0,247.69957720835242,7573.240487097137
