x, y
398.57988165680473, 78.94736842105263
473.8461538461538, 97.69736842105263
1523.3136094674555, 348.35526315789474
557.6331360946746, 116.44736842105263
899.8816568047337, 199.3421052631579
749.3491124260355, 163.8157894736842
1210.887573964497, 274.34210526315786
1600, 366.11842105263156
659.8816568047337, 142.10526315789474
1300.3550295857988, 296.05263157894734
1456.5680473372781, 332.5657894736842
1060.3550295857988, 237.82894736842104
1144.1420118343194, 256.57894736842104
987.9289940828402, 220.0657894736842
821.7751479289941, 181.57894736842104
