Unix_Timestamp,Elapsed_Time_s,EOM0_Target_V,EOM1_Target_V,Raw_Count0,Raw_Count1,Rate0_Hz,Rate1_Hz
1789789254.1743824,0.06261330000052112,-200.0,-200.0,329.0,201.0,3372.361390721818,2459.013514067992
1789789254.2363784,0.12461100000109582,-193.22033898305085,-200.0,533.0,362.0,3256.4595345127973,2526.870239895176
1789789254.2977996,0.1860316000002058,-186.4406779661017,-200.0,737.0,511.0,3374.094765909924,2432.899910156103
1789789254.3584414,0.24667369999951916,-179.66101694915255,-200.0,940.0,641.0,3457.5220012524123,2016.8878340639071
1789789254.4195514,0.30778359999931126,-172.8813559322034,-200.0,1154.0,760.0,3608.23821515979,1929.157065530977
1789789254.4805143,0.36874619999980496,-166.10169491525426,-200.0,1386.0,860.0,3862.2879764844597,1573.5247311603353
1789789254.5422406,0.43047219999971276,-159.32203389830508,-200.0,1649.0,957.0,4186.679998112769,1589.878480295988
1789789254.6046429,0.49287440000080096,-152.54237288135593,-200.0,1913.0,1054.0,4379.911758131249,1573.1927947573467
1789789254.671592,0.559823999999935,-145.76271186440678,-200.0,2212.0,1140.0,4526.635206610221,1212.4915731991662
1789789254.734493,0.6227245999998559,-138.98305084745763,-200.0,2524.0,1215.0,5078.504477674196,1132.4888033837929
1789789254.7969513,0.6851827999998932,-132.20338983050848,-200.0,2816.0,1275.0,4828.568390441907,923.8777064744442
1789789254.8589394,0.7471698000008473,-125.42372881355932,-200.0,3121.0,1330.0,4881.937883412934,842.924526632449
1789789254.9206715,0.8089030000010098,-118.64406779661017,-200.0,3416.0,1368.0,4887.125179747982,675.3118430197211
1789789254.981337,0.8695676999996067,-111.86440677966102,-200.0,3729.0,1408.0,5289.853377473208,647.7371482620255
1789789255.04271,0.9309408999997686,-105.08474576271186,-200.0,4030.0,1443.0,4994.339156483483,550.9769176191742
1789789255.1041577,0.9923880000005738,-98.30508474576271,-200.0,4405.0,1473.0,6178.0558297430625,532.5910198054364
1789789255.1657925,1.0540230999995401,-91.52542372881356,-200.0,4730.0,1513.0,5173.17698844278,622.2034178539427
1789789255.2263834,1.1146127000010893,-84.74576271186442,-200.0,5020.0,1534.0,4707.079013969375,360.69570988271073
1789789255.287908,1.1761380999996618,-77.96610169491527,-200.0,5361.0,1573.0,5444.888299823472,658.3688467106813
1789789255.3489654,1.2371944999995321,-71.18644067796612,-200.0,5666.0,1598.0,5055.75623752217,446.62157575284186
1789789255.4110198,1.2992496999995637,-64.40677966101697,-200.0,6007.0,1628.0,5549.183616172095,477.15910075365144
1789789255.472515,1.36074329999974,-57.62711864406779,-200.0,6351.0,1667.0,5652.630776959337,655.6342907444999
1789789255.5347254,1.4229551999997057,-50.847457627118644,-200.0,6667.0,1704.0,4875.592322285838,569.412242018784
1789789255.5954607,1.4836897999994108,-44.067796610169495,-200.0,6980.0,1757.0,5105.526192843289,934.8146550276444
1789789255.6575336,1.5457633000005444,-37.288135593220346,-200.0,7299.0,1812.0,5107.026667928052,918.9113727759817
1789789255.7195687,1.607796899999812,-30.508474576271198,-200.0,7607.0,1889.0,5161.308444428328,1228.8829629591257
1789789255.7812462,1.6694755000007717,-23.72881355932205,-200.0,7878.0,1970.0,4294.087756819361,1324.0103916859696
1789789255.842722,1.7309502999996766,-16.9491525423729,-200.0,8150.0,2041.0,4454.643388877418,1153.5929094702478
1789789255.9060626,1.7942913000006229,-10.169491525423723,-200.0,8426.0,2159.0,4343.648630109431,1841.7070191663986
1789789255.9672067,1.855434900000546,-3.3898305084745743,-200.0,8633.0,2261.0,3554.6251210431315,1696.9315904477262
1789789256.027744,1.9159724000001006,3.3898305084745743,-200.0,8858.0,2392.0,3820.892495370934,2118.693942930802
1789789256.0893033,1.977531500000623,10.169491525423723,-200.0,9055.0,2511.0,3158.873595359685,1934.366415135987
1789789256.1512702,2.039498399999502,16.94915254237287,-200.0,9256.0,2681.0,3120.9381256616343,2801.7512719007855
1789789256.2123218,2.1005487000002177,23.72881355932202,-200.0,9460.0,2844.0,3303.046480163572,2678.1457947272206
1789789256.27673,2.1649575999999797,30.50847457627117,-200.0,9648.0,3029.0,3013.0970487885425,2796.5870812109224
1789789256.338632,2.22685889999957,37.28813559322032,-200.0,9769.0,3225.0,1854.2753527707273,3227.1522966490543
1789789256.4038534,2.2920809000006557,44.06779661016947,-200.0,9927.0,3460.0,2477.4094615555186,3707.0725519626376
1789789256.4689755,2.3572033000000374,50.847457627118644,-200.0,10045.0,3667.0,1759.5956616737055,3200.7882988540737
1789789256.5306606,2.418887199999517,57.627118644067764,-200.0,10145.0,3879.0,1528.496570796709,3380.674768350368
1789789256.595855,2.4840829000004305,64.40677966101691,-200.0,10251.0,4091.0,1601.7102893868746,3186.5604704644134
1789789256.657533,2.545759500000713,71.18644067796606,-200.0,10347.0,4331.0,1563.9328646362678,3874.288232848936
1789789256.7194743,2.607701700000689,77.96610169491527,-200.0,10415.0,4603.0,1085.2451141704419,4412.144070725731
1789789256.7826798,2.670905999999377,84.74576271186442,-200.0,10459.0,4859.0,763.1176372408496,4170.5266221302245
1789789256.8454478,2.7336744999993243,91.52542372881356,-200.0,10500.0,5133.0,689.1189878825045,4205.392797847079
1789789256.9070804,2.7953066999998555,98.30508474576271,-200.0,10561.0,5398.0,993.7888198625852,4170.363797637634
1789789256.9697425,2.857969000000594,105.08474576271186,-200.0,10619.0,5676.0,895.8873500717449,4426.737494472151
1789789257.0298247,2.9180505000003905,111.86440677966101,-200.0,10653.0,5956.0,545.6122770109208,4564.956050991371
1789789257.0921345,2.98036090000096,118.64406779661016,-200.0,10689.0,6255.0,545.4414292603569,4803.403554454111
1789789257.1535556,3.0417799999995623,125.42372881355931,-200.0,10725.0,6554.0,569.003195317827,5014.340658738351
1789789257.2152607,3.1034868999995524,132.20338983050846,-200.0,10764.0,6828.0,661.8903229683523,4561.676550187293
1789789257.2760208,3.164246100001037,138.9830508474576,-200.0,10810.0,7081.0,807.7312444805744,4092.50497203491
1789789257.3374543,3.2256799999995565,145.76271186440675,-200.0,10854.0,7369.0,695.7142220047917,4887.838380238793
1789789257.3990633,3.287287600000127,152.5423728813559,-200.0,10908.0,7632.0,941.1046082336328,4332.6325360189885
1789789257.460013,3.3482382000001962,159.32203389830505,-200.0,10966.0,7853.0,955.0909048269366,3550.0548726586135
1789789257.5222275,3.4104511000005004,166.1016949152542,-200.0,11051.0,8137.0,1369.5767832139095,4758.4013878329415
1789789257.5852306,3.473455900000772,172.88135593220335,-200.0,11136.0,8403.0,1316.8891916705952,4389.630638901985
1789789257.6465464,3.534771599999658,179.66101694915255,-200.0,11245.0,8674.0,1781.7149719021559,4436.470280036368
1789789257.7084196,3.596644000001106,186.4406779661017,-200.0,11342.0,8936.0,1568.619156904431,4282.8590463795135
1789789257.7706728,3.6588972000008653,193.22033898305085,-200.0,11457.0,9170.0,1931.9523451734096,3810.239347425336
1789789257.8320477,3.72027209999942,200.0,-200.0,11583.0,9353.0,1884.2602056795256,2933.0465465766197
1789789257.8928142,3.7810379000002285,-200.0,-193.22033898305085,11775.0,9529.0,3251.4366499542384,3017.9080507862545
1789789257.9547873,3.8430115999999543,-193.22033898305085,-193.22033898305085,11978.0,9706.0,3308.2487448193488,2845.8053718876117
1789789258.0154915,3.903715899999952,-186.4406779661017,-193.22033898305085,12204.0,9855.0,3687.0768854267926,2482.03224482389
1789789258.0765026,3.964726600001086,-179.66101694915255,-193.22033898305085,12461.0,9992.0,4210.813009376844,2150.202387766899
1789789258.1379945,4.02621739999995,-172.8813559322034,-193.22033898305085,12700.0,10110.0,3903.983305183835,1810.0286233125053
1789789258.200275,4.0884987999997975,-166.10169491525426,-193.22033898305085,12945.0,10242.0,3877.1767071939535,2071.3683778159475
1789789258.261729,4.1499518000000535,-159.32203389830508,-193.22033898305085,13216.0,10336.0,4456.802750059405,1527.032017948641
1789789258.323363,4.211586499999612,-152.54237288135593,-193.22033898305085,13491.0,10420.0,4662.37799065758,1405.8315315341558
1789789258.3844397,4.272662600000331,-145.76271186440678,-193.22033898305085,13780.0,10489.0,4799.272229758821,1110.2793964367422
1789789258.4451272,4.333350299999438,-138.98305084745763,-193.22033898305085,14084.0,10582.0,5109.071480213793,1529.1235064020154
1789789258.506567,4.394788999999946,-132.20338983050848,-193.22033898305085,14385.0,10653.0,5032.229384393304,1209.157590596271
1789789258.5695662,4.457789199999752,-125.42372881355932,-193.22033898305085,14730.0,10707.0,5635.35055387047,862.9130535614158
1789789258.6302938,4.518516800000725,-118.64406779661017,-193.22033898305085,15024.0,10760.0,4924.470484570284,880.6534808173135
1789789258.6902921,4.578514599999835,-111.86440677966102,-193.22033898305085,15369.0,10799.0,5806.788663839251,637.1084740889461
1789789258.7509832,4.639205499999662,-105.08474576271186,-193.22033898305085,15691.0,10849.0,5380.436445105593,863.7489945320015
1789789258.8117092,4.699931299999662,-98.30508474576271,-193.22033898305085,16001.0,10887.0,5183.380067813105,647.9225084766381
1789789258.8724198,4.760641900000337,-91.52542372881356,-193.22033898305085,16366.0,10920.0,6041.872333150553,521.4711239921608
1789789258.933646,4.821867900000143,-84.74576271186442,-193.22033898305085,16687.0,10943.0,5223.896563227306,410.06696571408884
1789789258.9952571,4.883478100000502,-77.96610169491527,-193.22033898305085,17047.0,10977.0,5982.167106436932,550.2883688413795
1789789259.0578952,4.946116600000096,-71.18644067796612,-193.22033898305085,17385.0,11001.0,5487.13462882442,374.122815601665
1789789259.1189208,5.007141500000216,-64.40677966101697,-193.22033898305085,17741.0,11042.0,5812.185918447937,679.5786612339126
1789789259.1833863,5.071607199999562,-57.62711864406779,-193.22033898305085,18135.0,11093.0,6479.764646278738,825.6763815202823
1789789259.2441967,5.132416500000545,-50.847457627118644,-193.22033898305085,18467.0,11144.0,5547.502078006322,927.6151015682703
