Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,289.3767411735477,597.6474963756089
-190.0,-9.5,289.71641141258704,641.1593434697802
-180.0,-9.0,290.61845801028977,834.035163741859
-170.0,-8.5,279.62071491133935,898.5676354624179
-160.0,-8.0,300.64173070710063,1004.4619413359753
-150.0,-7.5,295.4302608677648,1162.8214644929867
-140.0,-7.0,294.7280128323419,1345.1944099205875
-130.0,-6.5,304.607274581624,1469.282147981951
-120.0,-6.0,291.66769116111016,1677.3380873940976
-110.0,-5.5,268.84755810818086,1765.432298243721
-100.0,-5.0,299.7291185526846,1912.8891586036782
-90.0,-4.5,288.740973817261,2044.0869629201272
-80.0,-4.0,262.86641487050923,2096.9570822624714
-70.0,-3.5,258.95135058425905,2318.6105544621346
-60.0,-3.0,285.7760782079466,2382.794965685074
-50.0,-2.5,283.5435219583658,2468.320975363879
-40.0,-2.0,288.6771369951146,2441.8104036172967
-30.0,-1.5,282.7916876940944,2563.0486060725316
-20.0,-1.0,309.50391994567053,2608.3915568411653
-10.0,-0.5,254.94407267224997,2759.570411620331
0.0,0.0,291.7679224102861,2476.5420581378207
10.0,0.5,283.7054237983933,2643.935458275553
20.0,1.0,301.6370229637469,2567.3989512326843
30.0,1.5,294.45704505859754,2591.420953978536
40.0,2.0,267.63359670503155,2380.8445981975483
50.0,2.5,330.43078418197047,2237.374707352619
60.0,3.0,299.5602534969515,2305.917300174208
70.0,3.5,293.39442826454626,2126.36368688
80.0,4.0,283.65312985747227,2001.4962952399185
90.0,4.5,245.70640490913584,1888.0597429859913
100.0,5.0,306.50078207680843,1764.369761760329
110.0,5.5,284.78904851593575,1511.5726421230436
120.0,6.0,287.77826615946253,1517.5573620312143
130.0,6.5,262.76576292797904,1270.0345208185652
140.0,7.0,290.554144416383,1078.6325087238326
150.0,7.5,259.6663278057385,966.0383306489352
160.0,8.0,268.81193190195245,901.0177717454333
170.0,8.5,243.81445219649382,847.8771970261744
180.0,9.0,281.5718674962742,641.7450690286107
190.0,9.5,306.4697658269244,618.9097218972304
200.0,10.0,281.711956557515,563.42391311503
