298.552	2082.000
299.348	2084.333
300.144	2085.333
300.940	2081.000
301.736	2081.333
302.532	2080.333
303.328	2081.333
304.124	2080.000
304.920	2084.000
305.716	2087.333
306.512	2088.333
307.307	2087.000
308.103	2085.333
308.899	2085.667
309.694	2083.000
310.490	2084.667
311.285	2090.667
312.080	2086.000
312.876	2081.667
313.671	2080.000
314.466	2086.667
315.261	2088.333
316.056	2084.333
316.851	2081.000
317.646	2082.000
318.441	2081.000
319.235	2084.000
320.030	2084.000
320.825	2087.333
321.619	2083.667
322.414	2087.000
323.208	2082.333
324.003	2086.667
324.797	2087.000
325.591	2091.667
326.385	2090.333
327.179	2089.333
327.973	2089.333
328.767	2089.000
329.561	2089.000
330.355	2088.000
331.149	2092.333
331.943	2092.667
332.737	2098.333
333.530	2095.667
334.324	2093.000
335.117	2090.667
335.911	2094.000
336.704	2094.333
337.497	2092.000
338.291	2090.000
339.084	2087.333
339.877	2084.000
340.670	2080.667
341.463	2083.000
342.256	2082.667
343.049	2086.000
343.842	2084.000
344.634	2085.333
345.427	2083.333
346.220	2088.000
347.012	2083.667
347.805	2081.000
348.597	2077.667
349.390	2085.000
350.182	2087.667
350.974	2087.333
351.766	2083.000
352.558	2082.333
353.350	2081.333
354.142	2085.000
354.934	2083.667
355.726	2088.333
356.518	2085.000
357.310	2086.333
358.101	2086.667
358.893	2091.000
359.685	2094.333
360.476	2092.000
361.268	2088.667
362.059	2086.333
362.850	2082.333
363.641	2083.000
364.433	2082.333
365.224	2086.000
366.015	2085.333
366.806	2079.333
367.597	2078.000
368.387	2080.667
369.178	2085.667
369.969	2087.333
370.760	2088.667
371.550	2091.000
372.341	2089.000
373.131	2085.333
373.921	2085.000
374.712	2090.333
375.502	2089.000
376.292	2092.000
377.082	2087.333
377.872	2088.667
378.662	2084.000
379.452	2082.000
380.242	2080.333
381.032	2078.333
381.822	2079.667
382.612	2079.333
383.401	2081.667
384.191	2084.333
384.980	2086.667
385.770	2086.000
386.559	2086.667
387.348	2084.333
388.138	2087.333
388.927	2089.667
389.716	2093.333
390.505	2086.667
391.294	2084.000
392.083	2086.000
392.872	2091.000
393.660	2090.333
394.449	2090.000
395.238	2092.333
396.026	2090.333
396.815	2090.000
397.603	2085.333
398.392	2087.333
399.180	2085.333
399.968	2088.333
400.756	2088.333
401.545	2089.667
402.333	2087.667
403.121	2092.667
403.908	2090.333
404.696	2091.667
405.484	2088.333
406.272	2088.333
407.060	2086.000
407.847	2083.667
408.635	2085.667
409.422	2090.667
410.210	2094.667
410.997	2092.333
411.784	2089.000
412.571	2086.667
413.359	2089.333
414.146	2087.000
414.933	2081.000
415.720	2078.667
416.506	2081.000
417.293	2087.667
418.080	2088.000
418.867	2089.667
419.653	2089.000
420.440	2092.667
421.226	2093.000
422.013	2092.333
422.799	2086.667
423.585	2086.000
424.372	2086.667
425.158	2096.333
425.944	2095.667
426.730	2099.333
427.516	2092.667
428.302	2094.333
429.088	2091.667
429.873	2092.000
430.659	2091.000
431.445	2089.667
432.230	2085.667
433.016	2087.000
433.801	2088.667
434.586	2095.000
435.372	2095.333
436.157	2095.667
436.942	2090.000
437.727	2088.333
438.512	2086.000
439.297	2090.000
440.082	2090.667
440.867	2092.667
441.652	2095.333
442.436	2096.333
443.221	2092.000
444.005	2086.667
444.790	2078.333
445.574	2077.667
446.359	2081.667
447.143	2087.333
447.927	2088.000
448.711	2086.333
449.495	2087.333
450.280	2088.667
451.063	2084.000
451.847	2088.333
452.631	2091.333
453.415	2096.667
454.199	2089.000
454.982	2086.000
455.766	2086.667
456.549	2089.000
457.333	2090.667
458.116	2090.000
458.899	2092.000
459.682	2091.667
460.466	2089.333
461.249	2087.667
462.032	2089.667
462.815	2094.333
463.598	2094.000
464.380	2092.333
465.163	2088.333
465.946	2092.333
466.728	2090.333
467.511	2094.000
468.293	2092.667
469.076	2103.000
469.858	2099.333
470.640	2101.667
471.423	2095.333
472.205	2097.333
472.987	2094.333
473.769	2094.667
474.551	2093.000
475.332	2092.667
476.114	2086.333
476.896	2087.667
477.678	2091.333
478.459	2095.667
479.241	2096.000
480.022	2089.000
480.804	2088.333
481.585	2084.667
482.366	2086.333
483.147	2087.333
483.928	2087.000
484.709	2088.667
485.490	2086.667
486.271	2092.333
487.052	2092.000
487.833	2096.333
488.614	2095.667
489.394	2100.333
490.175	2093.000
490.955	2090.000
491.736	2098.333
492.516	2111.667
493.296	2115.000
494.076	2099.000
494.857	2090.000
495.637	2088.333
496.417	2093.000
497.197	2095.667
497.976	2094.667
498.756	2093.333
499.536	2091.667
500.316	2096.667
501.095	2096.333
501.875	2095.000
502.654	2090.667
503.434	2089.667
504.213	2089.333
504.992	2090.000
505.771	2095.333
506.550	2099.333
507.329	2100.333
508.108	2095.333
508.887	2091.667
509.666	2093.333
510.445	2094.333
511.224	2098.000
512.002	2094.667
512.781	2094.000
513.559	2090.667
514.338	2094.333
515.116	2094.667
515.894	2100.333
516.673	2131.667
517.451	2134.333
518.229	2130.000
519.007	2099.667
519.785	2102.333
520.562	2104.000
521.340	2101.000
522.118	2097.667
522.896	2097.667
523.673	2102.000
524.451	2101.000
525.228	2099.667
526.006	2100.000
526.783	2105.333
527.560	2107.000
528.337	2106.667
529.114	2105.000
529.891	2104.667
530.668	2101.333
531.445	2102.667
532.222	2101.000
532.999	2101.000
533.775	2097.000
534.552	2094.333
535.328	2093.667
536.105	2095.333
536.881	2100.667
537.658	2101.333
538.434	2102.667
539.210	2106.667
539.986	2112.333
540.762	2118.000
541.538	2121.333
542.314	2126.333
543.090	2128.000
543.865	2131.333
544.641	2134.000
545.417	2142.333
546.192	2148.667
546.968	2161.333
547.743	2166.333
548.518	2185.000
549.294	2244.000
550.069	2569.000
550.844	3300.000
551.619	4184.667
552.394	4933.000
553.169	5369.333
553.944	5680.667
554.718	5965.333
555.493	6227.000
556.268	6491.667
557.042	6698.000
557.817	6865.333
558.591	6976.667
559.365	7059.667
560.140	7086.667
560.914	7074.667
561.688	7042.333
562.462	6977.667
563.236	6887.333
564.010	6742.333
564.784	6599.667
565.557	6465.333
566.331	6340.333
567.105	6206.333
567.878	6064.667
568.652	5927.333
569.425	5795.667
570.198	5665.333
570.972	5560.667
571.745	5459.667
572.518	5358.667
573.291	5252.333
574.064	5149.333
574.837	5053.333
575.610	4944.333
576.382	4841.333
577.155	4736.000
577.928	4650.000
578.700	4573.000
579.473	4508.000
580.245	4438.000
581.017	4380.667
581.790	4329.333
582.562	4287.667
583.334	4242.000
584.106	4215.333
584.878	4181.000
585.650	4161.000
586.422	4133.333
587.193	4141.667
587.965	4143.333
588.737	4158.667
589.508	4168.000
590.280	4204.000
591.051	4235.333
591.822	4279.000
592.593	4312.667
593.365	4362.000
594.136	4407.333
594.907	4467.000
595.678	4519.333
596.449	4582.000
597.219	4633.000
597.990	4689.333
598.761	4736.667
599.531	4786.333
600.302	4840.000
601.072	4887.000
601.843	4922.667
602.613	4951.333
603.383	4974.667
604.153	4991.667
604.923	4988.667
605.693	4972.667
606.463	4939.667
607.233	4898.667
608.003	4855.667
608.772	4810.667
609.542	4750.000
610.312	4683.000
611.081	4611.667
611.851	4551.333
612.620	4477.000
613.389	4410.667
614.158	4342.667
614.927	4284.000
615.696	4221.333
616.465	4154.333
617.234	4092.667
618.003	4031.667
618.772	3968.000
619.541	3909.667
620.309	3850.667
621.078	3796.333
621.846	3737.000
622.614	3679.000
623.383	3624.333
624.151	3575.000
624.919	3525.333
625.687	3479.333
626.455	3434.333
627.223	3392.667
627.991	3356.333
628.759	3322.333
629.526	3290.667
630.294	3251.333
631.062	3206.667
631.829	3171.667
632.597	3144.333
633.364	3120.000
634.131	3096.333
634.898	3068.333
635.665	3050.333
636.433	3024.333
637.199	3014.333
637.966	2987.667
638.733	2970.000
639.500	2947.333
640.267	2939.000
641.033	2931.333
641.800	2923.000
642.566	2913.333
643.333	2900.667
644.099	2894.667
644.865	2893.000
645.631	2892.000
646.397	2880.667
647.163	2868.000
647.929	2860.000
648.695	2858.667
649.461	2855.000
650.227	2849.000
650.992	2842.667
651.758	2834.667
652.523	2828.667
653.289	2826.333
