Time_Duration_s,EOM0_Voltage,EOM1_Voltage
0.1,-200.0,-200.0
0.1,-193.22033898305085,-200.0
0.1,-186.4406779661017,-200.0
0.1,-179.66101694915255,-200.0
0.1,-172.8813559322034,-200.0
0.1,-166.10169491525426,-200.0
0.1,-159.32203389830508,-200.0
0.1,-152.54237288135593,-200.0
0.1,-145.76271186440678,-200.0
0.1,-138.98305084745763,-200.0
0.1,-132.20338983050848,-200.0
0.1,-125.42372881355932,-200.0
0.1,-118.64406779661017,-200.0
0.1,-111.86440677966102,-200.0
0.1,-105.08474576271186,-200.0
0.1,-98.30508474576271,-200.0
0.1,-91.52542372881356,-200.0
0.1,-84.74576271186442,-200.0
0.1,-77.96610169491527,-200.0
0.1,-71.18644067796612,-200.0
0.1,-64.40677966101697,-200.0
0.1,-57.62711864406779,-200.0
0.1,-50.847457627118644,-200.0
0.1,-44.067796610169495,-200.0
0.1,-37.288135593220346,-200.0
0.1,-30.508474576271198,-200.0
0.1,-23.72881355932205,-200.0
0.1,-16.9491525423729,-200.0
0.1,-10.169491525423723,-200.0
0.1,-3.3898305084745743,-200.0
0.1,3.3898305084745743,-200.0
0.1,10.169491525423723,-200.0
0.1,16.94915254237287,-200.0
0.1,23.72881355932202,-200.0
0.1,30.50847457627117,-200.0
0.1,37.28813559322032,-200.0
0.1,44.06779661016947,-200.0
0.1,50.847457627118644,-200.0
0.1,57.627118644067764,-200.0
0.1,64.40677966101691,-200.0
0.1,71.18644067796606,-200.0
0.1,77.96610169491527,-200.0
0.1,84.74576271186442,-200.0
0.1,91.52542372881356,-200.0
0.1,98.30508474576271,-200.0
0.1,105.08474576271186,-200.0
0.1,111.86440677966101,-200.0
0.1,118.64406779661016,-200.0
0.1,125.42372881355931,-200.0
0.1,132.20338983050846,-200.0
0.1,138.9830508474576,-200.0
0.1,145.76271186440675,-200.0
0.1,152.5423728813559,-200.0
0.1,159.32203389830505,-200.0
0.1,166.1016949152542,-200.0
0.1,172.88135593220335,-200.0
0.1,179.66101694915255,-200.0
0.1,186.4406779661017,-200.0
0.1,193.22033898305085,-200.0
0.1,200.0,-200.0
0.1,-200.0,-193.22033898305085
0.1,-193.22033898305085,-193.22033898305085
0.1,-186.4406779661017,-193.22033898305085
0.1,-179.66101694915255,-193.22033898305085
0.1,-172.8813559322034,-193.22033898305085
0.1,-166.10169491525426,-193.22033898305085
0.1,-159.32203389830508,-193.22033898305085
0.1,-152.54237288135593,-193.22033898305085
0.1,-145.76271186440678,-193.22033898305085
0.1,-138.98305084745763,-193.22033898305085
0.1,-132.20338983050848,-193.22033898305085
0.1,-125.42372881355932,-193.22033898305085
0.1,-118.64406779661017,-193.22033898305085
0.1,-111.86440677966102,-193.22033898305085
0.1,-105.08474576271186,-193.22033898305085
0.1,-98.30508474576271,-193.22033898305085
0.1,-91.52542372881356,-193.22033898305085
0.1,-84.74576271186442,-193.22033898305085
0.1,-77.96610169491527,-193.22033898305085
0.1,-71.18644067796612,-193.22033898305085
0.1,-64.40677966101697,-193.22033898305085
0.1,-57.62711864406779,-193.22033898305085
0.1,-50.847457627118644,-193.22033898305085
0.1,-44.067796610169495,-193.22033898305085
0.1,-37.288135593220346,-193.22033898305085
0.1,-30.508474576271198,-193.22033898305085
0.1,-23.72881355932205,-193.22033898305085
0.1,-16.9491525423729,-193.22033898305085
0.1,-10.169491525423723,-193.22033898305085
0.1,-3.3898305084745743,-193.22033898305085
0.1,3.3898305084745743,-193.22033898305085
0.1,10.169491525423723,-193.22033898305085
0.1,16.94915254237287,-193.22033898305085
0.1,23.72881355932202,-193.22033898305085
0.1,30.50847457627117,-193.22033898305085
0.1,37.28813559322032,-193.22033898305085
0.1,44.06779661016947,-193.22033898305085
0.1,50.847457627118644,-193.22033898305085
0.1,57.627118644067764,-193.22033898305085
0.1,64.40677966101691,-193.22033898305085
0.1,71.18644067796606,-193.22033898305085
0.1,77.96610169491527,-193.22033898305085
0.1,84.74576271186442,-193.22033898305085
0.1,91.52542372881356,-193.22033898305085
0.1,98.30508474576271,-193.22033898305085
0.1,105.08474576271186,-193.22033898305085
0.1,111.86440677966101,-193.22033898305085
0.1,118.64406779661016,-193.22033898305085
0.1,125.42372881355931,-193.22033898305085
0.1,132.20338983050846,-193.22033898305085
0.1,138.9830508474576,-193.22033898305085
0.1,145.76271186440675,-193.22033898305085
0.1,152.5423728813559,-193.22033898305085
0.1,159.32203389830505,-193.22033898305085
0.1,166.1016949152542,-193.22033898305085
0.1,172.88135593220335,-193.22033898305085
0.1,179.66101694915255,-193.22033898305085
0.1,186.4406779661017,-193.22033898305085
0.1,193.22033898305085,-193.22033898305085
0.1,200.0,-193.22033898305085
0.1,-200.0,-186.4406779661017
0.1,-193.22033898305085,-186.4406779661017
0.1,-186.4406779661017,-186.4406779661017
0.1,-179.66101694915255,-186.4406779661017
0.1,-172.8813559322034,-186.4406779661017
0.1,-166.10169491525426,-186.4406779661017
0.1,-159.32203389830508,-186.4406779661017
0.1,-152.54237288135593,-186.4406779661017
0.1,-145.76271186440678,-186.4406779661017
0.1,-138.98305084745763,-186.4406779661017
0.1,-132.20338983050848,-186.4406779661017
0.1,-125.42372881355932,-186.4406779661017
0.1,-118.64406779661017,-186.4406779661017
0.1,-111.86440677966102,-186.4406779661017
0.1,-105.08474576271186,-186.4406779661017
0.1,-98.30508474576271,-186.4406779661017
0.1,-91.52542372881356,-186.4406779661017
0.1,-84.74576271186442,-186.4406779661017
0.1,-77.96610169491527,-186.4406779661017
0.1,-71.18644067796612,-186.4406779661017
0.1,-64.40677966101697,-186.4406779661017
0.1,-57.62711864406779,-186.4406779661017
0.1,-50.847457627118644,-186.4406779661017
0.1,-44.067796610169495,-186.4406779661017
0.1,-37.288135593220346,-186.4406779661017
0.1,-30.508474576271198,-186.4406779661017
0.1,-23.72881355932205,-186.4406779661017
0.1,-16.9491525423729,-186.4406779661017
0.1,-10.169491525423723,-186.4406779661017
0.1,-3.3898305084745743,-186.4406779661017
0.1,3.3898305084745743,-186.4406779661017
0.1,10.169491525423723,-186.4406779661017
0.1,16.94915254237287,-186.4406779661017
0.1,23.72881355932202,-186.4406779661017
0.1,30.50847457627117,-186.4406779661017
0.1,37.28813559322032,-186.4406779661017
0.1,44.06779661016947,-186.4406779661017
0.1,50.847457627118644,-186.4406779661017
0.1,57.627118644067764,-186.4406779661017
0.1,64.40677966101691,-186.4406779661017
0.1,71.18644067796606,-186.4406779661017
0.1,77.96610169491527,-186.4406779661017
0.1,84.74576271186442,-186.4406779661017
0.1,91.52542372881356,-186.4406779661017
0.1,98.30508474576271,-186.4406779661017
0.1,105.08474576271186,-186.4406779661017
0.1,111.86440677966101,-186.4406779661017
0.1,118.64406779661016,-186.4406779661017
0.1,125.42372881355931,-186.4406779661017
0.1,132.20338983050846,-186.4406779661017
0.1,138.9830508474576,-186.4406779661017
0.1,145.76271186440675,-186.4406779661017
0.1,152.5423728813559,-186.4406779661017
0.1,159.32203389830505,-186.4406779661017
0.1,166.1016949152542,-186.4406779661017
0.1,172.88135593220335,-186.4406779661017
0.1,179.66101694915255,-186.4406779661017
0.1,186.4406779661017,-186.4406779661017
0.1,193.22033898305085,-186.4406779661017
0.1,200.0,-186.4406779661017
0.1,-200.0,-179.66101694915255
0.1,-193.22033898305085,-179.66101694915255
0.1,-186.4406779661017,-179.66101694915255
0.1,-179.66101694915255,-179.66101694915255
0.1,-172.8813559322034,-179.66101694915255
0.1,-166.10169491525426,-179.66101694915255
0.1,-159.32203389830508,-179.66101694915255
0.1,-152.54237288135593,-179.66101694915255
0.1,-145.76271186440678,-179.66101694915255
0.1,-138.98305084745763,-179.66101694915255
0.1,-132.20338983050848,-179.66101694915255
0.1,-125.42372881355932,-179.66101694915255
0.1,-118.64406779661017,-179.66101694915255
0.1,-111.86440677966102,-179.66101694915255
0.1,-105.08474576271186,-179.66101694915255
0.1,-98.30508474576271,-179.66101694915255
0.1,-91.52542372881356,-179.66101694915255
0.1,-84.74576271186442,-179.66101694915255
0.1,-77.96610169491527,-179.66101694915255
0.1,-71.18644067796612,-179.66101694915255
0.1,-64.40677966101697,-179.66101694915255
0.1,-57.62711864406779,-179.66101694915255
0.1,-50.847457627118644,-179.66101694915255
0.1,-44.067796610169495,-179.66101694915255
0.1,-37.288135593220346,-179.66101694915255
0.1,-30.508474576271198,-179.66101694915255
0.1,-23.72881355932205,-179.66101694915255
0.1,-16.9491525423729,-179.66101694915255
0.1,-10.169491525423723,-179.66101694915255
0.1,-3.3898305084745743,-179.66101694915255
0.1,3.3898305084745743,-179.66101694915255
0.1,10.169491525423723,-179.66101694915255
0.1,16.94915254237287,-179.66101694915255
0.1,23.72881355932202,-179.66101694915255
0.1,30.50847457627117,-179.66101694915255
0.1,37.28813559322032,-179.66101694915255
0.1,44.06779661016947,-179.66101694915255
0.1,50.847457627118644,-179.66101694915255
0.1,57.627118644067764,-179.66101694915255
0.1,64.40677966101691,-179.66101694915255
0.1,71.18644067796606,-179.66101694915255
0.1,77.96610169491527,-179.66101694915255
0.1,84.74576271186442,-179.66101694915255
0.1,91.52542372881356,-179.66101694915255
0.1,98.30508474576271,-179.66101694915255
0.1,105.08474576271186,-179.66101694915255
0.1,111.86440677966101,-179.66101694915255
0.1,118.64406779661016,-179.66101694915255
0.1,125.42372881355931,-179.66101694915255
0.1,132.20338983050846,-179.66101694915255
0.1,138.9830508474576,-179.66101694915255
0.1,145.76271186440675,-179.66101694915255
0.1,152.5423728813559,-179.66101694915255
0.1,159.32203389830505,-179.66101694915255
0.1,166.1016949152542,-179.66101694915255
0.1,172.88135593220335,-179.66101694915255
0.1,179.66101694915255,-179.66101694915255
0.1,186.4406779661017,-179.66101694915255
0.1,193.22033898305085,-179.66101694915255
0.1,200.0,-179.66101694915255
0.1,-200.0,-172.8813559322034
0.1,-193.22033898305085,-172.8813559322034
0.1,-186.4406779661017,-172.8813559322034
0.1,-179.66101694915255,-172.8813559322034
0.1,-172.8813559322034,-172.8813559322034
0.1,-166.10169491525426,-172.8813559322034
0.1,-159.32203389830508,-172.8813559322034
0.1,-152.54237288135593,-172.8813559322034
0.1,-145.76271186440678,-172.8813559322034
0.1,-138.98305084745763,-172.8813559322034
0.1,-132.20338983050848,-172.8813559322034
0.1,-125.42372881355932,-172.8813559322034
0.1,-118.64406779661017,-172.8813559322034
0.1,-111.86440677966102,-172.8813559322034
0.1,-105.08474576271186,-172.8813559322034
0.1,-98.30508474576271,-172.8813559322034
0.1,-91.52542372881356,-172.8813559322034
0.1,-84.74576271186442,-172.8813559322034
0.1,-77.96610169491527,-172.8813559322034
0.1,-71.18644067796612,-172.8813559322034
0.1,-64.40677966101697,-172.8813559322034
0.1,-57.62711864406779,-172.8813559322034
0.1,-50.847457627118644,-172.8813559322034
0.1,-44.067796610169495,-172.8813559322034
0.1,-37.288135593220346,-172.8813559322034
0.1,-30.508474576271198,-172.8813559322034
0.1,-23.72881355932205,-172.8813559322034
0.1,-16.9491525423729,-172.8813559322034
0.1,-10.169491525423723,-172.8813559322034
0.1,-3.3898305084745743,-172.8813559322034
0.1,3.3898305084745743,-172.8813559322034
0.1,10.169491525423723,-172.8813559322034
0.1,16.94915254237287,-172.8813559322034
0.1,23.72881355932202,-172.8813559322034
0.1,30.50847457627117,-172.8813559322034
0.1,37.28813559322032,-172.8813559322034
0.1,44.06779661016947,-172.8813559322034
0.1,50.847457627118644,-172.8813559322034
0.1,57.627118644067764,-172.8813559322034
0.1,64.40677966101691,-172.8813559322034
0.1,71.18644067796606,-172.8813559322034
0.1,77.96610169491527,-172.8813559322034
0.1,84.74576271186442,-172.8813559322034
0.1,91.52542372881356,-172.8813559322034
0.1,98.30508474576271,-172.8813559322034
0.1,105.08474576271186,-172.8813559322034
0.1,111.86440677966101,-172.8813559322034
0.1,118.64406779661016,-172.8813559322034
0.1,125.42372881355931,-172.8813559322034
0.1,132.20338983050846,-172.8813559322034
0.1,138.9830508474576,-172.8813559322034
0.1,145.76271186440675,-172.8813559322034
0.1,152.5423728813559,-172.8813559322034
0.1,159.32203389830505,-172.8813559322034
0.1,166.1016949152542,-172.8813559322034
0.1,172.88135593220335,-172.8813559322034
0.1,179.66101694915255,-172.8813559322034
0.1,186.4406779661017,-172.8813559322034
0.1,193.22033898305085,-172.8813559322034
0.1,200.0,-172.8813559322034
0.1,-200.0,-166.10169491525426
0.1,-193.22033898305085,-166.10169491525426
0.1,-186.4406779661017,-166.10169491525426
0.1,-179.66101694915255,-166.10169491525426
0.1,-172.8813559322034,-166.10169491525426
0.1,-166.10169491525426,-166.10169491525426
0.1,-159.32203389830508,-166.10169491525426
0.1,-152.54237288135593,-166.10169491525426
0.1,-145.76271186440678,-166.10169491525426
0.1,-138.98305084745763,-166.10169491525426
0.1,-132.20338983050848,-166.10169491525426
0.1,-125.42372881355932,-166.10169491525426
0.1,-118.64406779661017,-166.10169491525426
0.1,-111.86440677966102,-166.10169491525426
0.1,-105.08474576271186,-166.10169491525426
0.1,-98.30508474576271,-166.10169491525426
0.1,-91.52542372881356,-166.10169491525426
0.1,-84.74576271186442,-166.10169491525426
0.1,-77.96610169491527,-166.10169491525426
0.1,-71.18644067796612,-166.10169491525426
0.1,-64.40677966101697,-166.10169491525426
0.1,-57.62711864406779,-166.10169491525426
0.1,-50.847457627118644,-166.10169491525426
0.1,-44.067796610169495,-166.10169491525426
0.1,-37.288135593220346,-166.10169491525426
0.1,-30.508474576271198,-166.10169491525426
0.1,-23.72881355932205,-166.10169491525426
0.1,-16.9491525423729,-166.10169491525426
0.1,-10.169491525423723,-166.10169491525426
0.1,-3.3898305084745743,-166.10169491525426
0.1,3.3898305084745743,-166.10169491525426
0.1,10.169491525423723,-166.10169491525426
0.1,16.94915254237287,-166.10169491525426
0.1,23.72881355932202,-166.10169491525426
0.1,30.50847457627117,-166.10169491525426
0.1,37.28813559322032,-166.10169491525426
0.1,44.06779661016947,-166.10169491525426
0.1,50.847457627118644,-166.10169491525426
0.1,57.627118644067764,-166.10169491525426
0.1,64.40677966101691,-166.10169491525426
0.1,71.18644067796606,-166.10169491525426
0.1,77.96610169491527,-166.10169491525426
0.1,84.74576271186442,-166.10169491525426
0.1,91.52542372881356,-166.10169491525426
0.1,98.30508474576271,-166.10169491525426
0.1,105.08474576271186,-166.10169491525426
0.1,111.86440677966101,-166.10169491525426
0.1,118.64406779661016,-166.10169491525426
0.1,125.42372881355931,-166.10169491525426
0.1,132.20338983050846,-166.10169491525426
0.1,138.9830508474576,-166.10169491525426
0.1,145.76271186440675,-166.10169491525426
0.1,152.5423728813559,-166.10169491525426
0.1,159.32203389830505,-166.10169491525426
0.1,166.1016949152542,-166.10169491525426
0.1,172.88135593220335,-166.10169491525426
0.1,179.66101694915255,-166.10169491525426
0.1,186.4406779661017,-166.10169491525426
0.1,193.22033898305085,-166.10169491525426
0.1,200.0,-166.10169491525426
0.1,-200.0,-159.32203389830508
0.1,-193.22033898305085,-159.32203389830508
0.1,-186.4406779661017,-159.32203389830508
0.1,-179.66101694915255,-159.32203389830508
0.1,-172.8813559322034,-159.32203389830508
0.1,-166.10169491525426,-159.32203389830508
0.1,-159.32203389830508,-159.32203389830508
0.1,-152.54237288135593,-159.32203389830508
0.1,-145.76271186440678,-159.32203389830508
0.1,-138.98305084745763,-159.32203389830508
0.1,-132.20338983050848,-159.32203389830508
0.1,-125.42372881355932,-159.32203389830508
0.1,-118.64406779661017,-159.32203389830508
0.1,-111.86440677966102,-159.32203389830508
0.1,-105.08474576271186,-159.32203389830508
0.1,-98.30508474576271,-159.32203389830508
0.1,-91.52542372881356,-159.32203389830508
0.1,-84.74576271186442,-159.32203389830508
0.1,-77.96610169491527,-159.32203389830508
0.1,-71.18644067796612,-159.32203389830508
0.1,-64.40677966101697,-159.32203389830508
0.1,-57.62711864406779,-159.32203389830508
0.1,-50.847457627118644,-159.32203389830508
0.1,-44.067796610169495,-159.32203389830508
0.1,-37.288135593220346,-159.32203389830508
0.1,-30.508474576271198,-159.32203389830508
0.1,-23.72881355932205,-159.32203389830508
0.1,-16.9491525423729,-159.32203389830508
0.1,-10.169491525423723,-159.32203389830508
0.1,-3.3898305084745743,-159.32203389830508
0.1,3.3898305084745743,-159.32203389830508
0.1,10.169491525423723,-159.32203389830508
0.1,16.94915254237287,-159.32203389830508
0.1,23.72881355932202,-159.32203389830508
0.1,30.50847457627117,-159.32203389830508
0.1,37.28813559322032,-159.32203389830508
0.1,44.06779661016947,-159.32203389830508
0.1,50.847457627118644,-159.32203389830508
0.1,57.627118644067764,-159.32203389830508
0.1,64.40677966101691,-159.32203389830508
0.1,71.18644067796606,-159.32203389830508
0.1,77.96610169491527,-159.32203389830508
0.1,84.74576271186442,-159.32203389830508
0.1,91.52542372881356,-159.32203389830508
0.1,98.30508474576271,-159.32203389830508
0.1,105.08474576271186,-159.32203389830508
0.1,111.86440677966101,-159.32203389830508
0.1,118.64406779661016,-159.32203389830508
0.1,125.42372881355931,-159.32203389830508
0.1,132.20338983050846,-159.32203389830508
0.1,138.9830508474576,-159.32203389830508
0.1,145.76271186440675,-159.32203389830508
0.1,152.5423728813559,-159.32203389830508
0.1,159.32203389830505,-159.32203389830508
0.1,166.1016949152542,-159.32203389830508
0.1,172.88135593220335,-159.32203389830508
0.1,179.66101694915255,-159.32203389830508
0.1,186.4406779661017,-159.32203389830508
0.1,193.22033898305085,-159.32203389830508
0.1,200.0,-159.32203389830508
0.1,-200.0,-152.54237288135593
0.1,-193.22033898305085,-152.54237288135593
0.1,-186.4406779661017,-152.54237288135593
0.1,-179.66101694915255,-152.54237288135593
0.1,-172.8813559322034,-152.54237288135593
0.1,-166.10169491525426,-152.54237288135593
0.1,-159.32203389830508,-152.54237288135593
0.1,-152.54237288135593,-152.54237288135593
0.1,-145.76271186440678,-152.54237288135593
0.1,-138.98305084745763,-152.54237288135593
0.1,-132.20338983050848,-152.54237288135593
0.1,-125.42372881355932,-152.54237288135593
0.1,-118.64406779661017,-152.54237288135593
0.1,-111.86440677966102,-152.54237288135593
0.1,-105.08474576271186,-152.54237288135593
0.1,-98.30508474576271,-152.54237288135593
0.1,-91.52542372881356,-152.54237288135593
0.1,-84.74576271186442,-152.54237288135593
0.1,-77.96610169491527,-152.54237288135593
0.1,-71.18644067796612,-152.54237288135593
0.1,-64.40677966101697,-152.54237288135593
0.1,-57.62711864406779,-152.54237288135593
0.1,-50.847457627118644,-152.54237288135593
0.1,-44.067796610169495,-152.54237288135593
0.1,-37.288135593220346,-152.54237288135593
0.1,-30.508474576271198,-152.54237288135593
0.1,-23.72881355932205,-152.54237288135593
0.1,-16.9491525423729,-152.54237288135593
0.1,-10.169491525423723,-152.54237288135593
0.1,-3.3898305084745743,-152.54237288135593
0.1,3.3898305084745743,-152.54237288135593
0.1,10.169491525423723,-152.54237288135593
0.1,16.94915254237287,-152.54237288135593
0.1,23.72881355932202,-152.54237288135593
0.1,30.50847457627117,-152.54237288135593
0.1,37.28813559322032,-152.54237288135593
0.1,44.06779661016947,-152.54237288135593
0.1,50.847457627118644,-152.54237288135593
0.1,57.627118644067764,-152.54237288135593
0.1,64.40677966101691,-152.54237288135593
0.1,71.18644067796606,-152.54237288135593
0.1,77.96610169491527,-152.54237288135593
0.1,84.74576271186442,-152.54237288135593
0.1,91.52542372881356,-152.54237288135593
0.1,98.30508474576271,-152.54237288135593
0.1,105.08474576271186,-152.54237288135593
0.1,111.86440677966101,-152.54237288135593
0.1,118.64406779661016,-152.54237288135593
0.1,125.42372881355931,-152.54237288135593
0.1,132.20338983050846,-152.54237288135593
0.1,138.9830508474576,-152.54237288135593
0.1,145.76271186440675,-152.54237288135593
0.1,152.5423728813559,-152.54237288135593
0.1,159.32203389830505,-152.54237288135593
0.1,166.1016949152542,-152.54237288135593
0.1,172.88135593220335,-152.54237288135593
0.1,179.66101694915255,-152.54237288135593
0.1,186.4406779661017,-152.54237288135593
0.1,193.22033898305085,-152.54237288135593
0.1,200.0,-152.54237288135593
0.1,-200.0,-145.76271186440678
0.1,-193.22033898305085,-145.76271186440678
0.1,-186.4406779661017,-145.76271186440678
0.1,-179.66101694915255,-145.76271186440678
0.1,-172.8813559322034,-145.76271186440678
0.1,-166.10169491525426,-145.76271186440678
0.1,-159.32203389830508,-145.76271186440678
0.1,-152.54237288135593,-145.76271186440678
0.1,-145.76271186440678,-145.76271186440678
0.1,-138.98305084745763,-145.76271186440678
0.1,-132.20338983050848,-145.76271186440678
0.1,-125.42372881355932,-145.76271186440678
0.1,-118.64406779661017,-145.76271186440678
0.1,-111.86440677966102,-145.76271186440678
0.1,-105.08474576271186,-145.76271186440678
0.1,-98.30508474576271,-145.76271186440678
0.1,-91.52542372881356,-145.76271186440678
0.1,-84.74576271186442,-145.76271186440678
0.1,-77.96610169491527,-145.76271186440678
0.1,-71.18644067796612,-145.76271186440678
0.1,-64.40677966101697,-145.76271186440678
0.1,-57.62711864406779,-145.76271186440678
0.1,-50.847457627118644,-145.76271186440678
0.1,-44.067796610169495,-145.76271186440678
0.1,-37.288135593220346,-145.76271186440678
0.1,-30.508474576271198,-145.76271186440678
0.1,-23.72881355932205,-145.76271186440678
0.1,-16.9491525423729,-145.76271186440678
0.1,-10.169491525423723,-145.76271186440678
0.1,-3.3898305084745743,-145.76271186440678
0.1,3.3898305084745743,-145.76271186440678
0.1,10.169491525423723,-145.76271186440678
0.1,16.94915254237287,-145.76271186440678
0.1,23.72881355932202,-145.76271186440678
0.1,30.50847457627117,-145.76271186440678
0.1,37.28813559322032,-145.76271186440678
0.1,44.06779661016947,-145.76271186440678
0.1,50.847457627118644,-145.76271186440678
0.1,57.627118644067764,-145.76271186440678
0.1,64.40677966101691,-145.76271186440678
0.1,71.18644067796606,-145.76271186440678
0.1,77.96610169491527,-145.76271186440678
0.1,84.74576271186442,-145.76271186440678
0.1,91.52542372881356,-145.76271186440678
0.1,98.30508474576271,-145.76271186440678
0.1,105.08474576271186,-145.76271186440678
0.1,111.86440677966101,-145.76271186440678
0.1,118.64406779661016,-145.76271186440678
0.1,125.42372881355931,-145.76271186440678
0.1,132.20338983050846,-145.76271186440678
0.1,138.9830508474576,-145.76271186440678
0.1,145.76271186440675,-145.76271186440678
0.1,152.5423728813559,-145.76271186440678
0.1,159.32203389830505,-145.76271186440678
0.1,166.1016949152542,-145.76271186440678
0.1,172.88135593220335,-145.76271186440678
0.1,179.66101694915255,-145.76271186440678
0.1,186.4406779661017,-145.76271186440678
0.1,193.22033898305085,-145.76271186440678
0.1,200.0,-145.76271186440678
0.1,-200.0,-138.98305084745763
0.1,-193.22033898305085,-138.98305084745763
0.1,-186.4406779661017,-138.98305084745763
0.1,-179.66101694915255,-138.98305084745763
0.1,-172.8813559322034,-138.98305084745763
0.1,-166.10169491525426,-138.98305084745763
0.1,-159.32203389830508,-138.98305084745763
0.1,-152.54237288135593,-138.98305084745763
0.1,-145.76271186440678,-138.98305084745763
0.1,-138.98305084745763,-138.98305084745763
0.1,-132.20338983050848,-138.98305084745763
0.1,-125.42372881355932,-138.98305084745763
0.1,-118.64406779661017,-138.98305084745763
0.1,-111.86440677966102,-138.98305084745763
0.1,-105.08474576271186,-138.98305084745763
0.1,-98.30508474576271,-138.98305084745763
0.1,-91.52542372881356,-138.98305084745763
0.1,-84.74576271186442,-138.98305084745763
0.1,-77.96610169491527,-138.98305084745763
0.1,-71.18644067796612,-138.98305084745763
0.1,-64.40677966101697,-138.98305084745763
0.1,-57.62711864406779,-138.98305084745763
0.1,-50.847457627118644,-138.98305084745763
0.1,-44.067796610169495,-138.98305084745763
0.1,-37.288135593220346,-138.98305084745763
0.1,-30.508474576271198,-138.98305084745763
0.1,-23.72881355932205,-138.98305084745763
0.1,-16.9491525423729,-138.98305084745763
0.1,-10.169491525423723,-138.98305084745763
0.1,-3.3898305084745743,-138.98305084745763
0.1,3.3898305084745743,-138.98305084745763
0.1,10.169491525423723,-138.98305084745763
0.1,16.94915254237287,-138.98305084745763
0.1,23.72881355932202,-138.98305084745763
0.1,30.50847457627117,-138.98305084745763
0.1,37.28813559322032,-138.98305084745763
0.1,44.06779661016947,-138.98305084745763
0.1,50.847457627118644,-138.98305084745763
0.1,57.627118644067764,-138.98305084745763
0.1,64.40677966101691,-138.98305084745763
0.1,71.18644067796606,-138.98305084745763
0.1,77.96610169491527,-138.98305084745763
0.1,84.74576271186442,-138.98305084745763
0.1,91.52542372881356,-138.98305084745763
0.1,98.30508474576271,-138.98305084745763
0.1,105.08474576271186,-138.98305084745763
0.1,111.86440677966101,-138.98305084745763
0.1,118.64406779661016,-138.98305084745763
0.1,125.42372881355931,-138.98305084745763
0.1,132.20338983050846,-138.98305084745763
0.1,138.9830508474576,-138.98305084745763
0.1,145.76271186440675,-138.98305084745763
0.1,152.5423728813559,-138.98305084745763
0.1,159.32203389830505,-138.98305084745763
0.1,166.1016949152542,-138.98305084745763
0.1,172.88135593220335,-138.98305084745763
0.1,179.66101694915255,-138.98305084745763
0.1,186.4406779661017,-138.98305084745763
0.1,193.22033898305085,-138.98305084745763
0.1,200.0,-138.98305084745763
0.1,-200.0,-132.20338983050848
0.1,-193.22033898305085,-132.20338983050848
0.1,-186.4406779661017,-132.20338983050848
0.1,-179.66101694915255,-132.20338983050848
0.1,-172.8813559322034,-132.20338983050848
0.1,-166.10169491525426,-132.20338983050848
0.1,-159.32203389830508,-132.20338983050848
0.1,-152.54237288135593,-132.20338983050848
0.1,-145.76271186440678,-132.20338983050848
0.1,-138.98305084745763,-132.20338983050848
0.1,-132.20338983050848,-132.20338983050848
0.1,-125.42372881355932,-132.20338983050848
0.1,-118.64406779661017,-132.20338983050848
0.1,-111.86440677966102,-132.20338983050848
0.1,-105.08474576271186,-132.20338983050848
0.1,-98.30508474576271,-132.20338983050848
0.1,-91.52542372881356,-132.20338983050848
0.1,-84.74576271186442,-132.20338983050848
0.1,-77.96610169491527,-132.20338983050848
0.1,-71.18644067796612,-132.20338983050848
0.1,-64.40677966101697,-132.20338983050848
0.1,-57.62711864406779,-132.20338983050848
0.1,-50.847457627118644,-132.20338983050848
0.1,-44.067796610169495,-132.20338983050848
0.1,-37.288135593220346,-132.20338983050848
0.1,-30.508474576271198,-132.20338983050848
