Unix_Timestamp,Elapsed_Time_s,EOM0_Target_V,EOM1_Target_V,Raw_Count0,Raw_Count1,Rate0_Hz,Rate1_Hz
1788398610.321454,0.11447620019316673,-200.0,-200.0,607.0,642.0,3868.553518454648,4721.102042663848
1788398610.434842,0.22786340001039207,-193.22033898305085,-200.0,1032.0,1086.0,3806.838602458795,3899.4624127375973
1788398610.54861,0.3416294001508504,-186.4406779661017,-200.0,1481.0,1567.0,3956.3367677922697,4278.364179124199
1788398610.66179,0.454807500122115,-179.66101694915255,-200.0,1943.0,2014.0,4063.366301805667,3989.3186243240148
1788398610.7750924,0.5681078000925481,-172.8813559322034,-200.0,2483.0,2566.0,4703.490297587479,4888.667080957065
1788398610.8881612,0.6811747001484036,-166.10169491525426,-200.0,2969.0,3018.0,4270.04466623291,4001.430142760557
1788398611.003951,0.7969622001983225,-159.32203389830508,-200.0,3562.0,3476.0,5162.557268354643,3987.1939673281922
1788398611.1173685,0.9103781001176685,-152.54237288135593,-200.0,4178.0,3885.0,5466.620365314121,3601.3208487711267
1788398611.229996,1.0230036000721157,-145.76271186440678,-200.0,4713.0,4205.0,4707.235094895413,2865.2735360232946
1788398611.34664,1.1396455001085997,-138.98305084745763,-200.0,5432.0,4563.0,6099.241437196781,2990.8872825364956
1788398611.4614806,1.254483100026846,-132.20338983050848,-200.0,6149.0,4892.0,6179.674979239939,2858.56222842087
1788398611.5781755,1.3711763999890536,-125.42372881355932,-200.0,6911.0,5212.0,6736.563966448263,2743.1437758113425
1788398611.6909363,1.4839348001405597,-118.64406779661017,-200.0,7615.0,5463.0,6280.80590723615,2229.8719197288106
1788398611.8054101,1.598406600067392,-111.86440677966102,-200.0,8470.0,5736.0,7453.295726835143,2313.7224771647743
1788398611.918787,1.711781700141728,-105.08474576271186,-200.0,9287.0,5954.0,7157.435896210786,1976.3758474698172
1788398612.0322478,1.8252404001541436,-98.30508474576271,-200.0,10143.0,6157.0,7448.573007000472,1762.9212445317103
1788398612.145299,1.9382893000729382,-91.52542372881356,-200.0,11074.0,6366.0,8340.59273888295,1862.7323783505253
1788398612.2573855,2.0503743002191186,-84.74576271186442,-200.0,12035.0,6525.0,8470.836371660333,1430.5054799823743
1788398612.3691356,2.1621220000088215,-77.96610169491527,-200.0,12966.0,6687.0,8423.193242037405,1463.2718772358967
1788398612.4812195,2.2742036001291126,-71.18644067796612,-200.0,13881.0,6830.0,8141.898995819623,1243.2520854695867
1788398612.5949938,2.38797580008395,-64.40677966101697,-200.0,14869.0,6993.0,8676.584708071448,1333.434576267117
1788398612.7086785,2.5016590000595897,-57.62711864406779,-200.0,15837.0,7107.0,8549.695330378723,964.3907964852356
1788398612.8218455,2.6148239001631737,-50.847457627118644,-200.0,16774.0,7230.0,8428.852605305188,1092.972096072541
1788398612.9362051,2.7291817001532763,-44.067796610169495,-200.0,17736.0,7355.0,8425.139306264671,1097.7380203602177
1788398613.0490334,2.842008300125599,-37.288135593220346,-200.0,18697.0,7480.0,8516.732560497047,1086.649628765708
1788398613.166393,2.959365800023079,-30.508474576271198,-200.0,19651.0,7636.0,8205.827403869562,1325.556734471237
1788398613.2838838,3.07685390021652,-23.72881355932205,-200.0,20628.0,7816.0,8187.540054160345,1506.7978370184226
1788398613.3998597,3.192827100167051,-16.9491525423729,-200.0,21589.0,8007.0,8029.452400327519,1688.953780758547
1788398613.5159512,3.308915800182149,-10.169491525423723,-200.0,22571.0,8232.0,8401.150312285308,1911.0308952121527
1788398613.6300368,3.4229991000611335,-3.3898305084745743,-200.0,23385.0,8469.0,7151.717388439448,2056.5819433077168
1788398613.7430723,3.536033899988979,3.3898305084745743,-200.0,24199.0,8738.0,7129.08097995538,2407.342860245689
1788398613.8558457,3.6488047000020742,10.169491525423723,-200.0,24864.0,9013.0,5851.799011646686,2452.182442975754
1788398613.9709992,3.763956200098619,16.94915254237287,-200.0,25514.0,9312.0,5523.992787124657,2597.3740919592756
1788398614.0850816,3.8780369001906365,23.72881355932202,-200.0,26206.0,9668.0,6018.991201646813,3138.737743190056
1788398614.1995342,3.9924874000716954,30.50847457627117,-200.0,26822.0,10039.0,5292.39814314613,3162.642068270399
1788398614.314298,4.107249000109732,37.28813559322032,-200.0,27328.0,10425.0,4397.211748082469,3355.0451383498257
1788398614.4276998,4.220649300143123,44.06779661016947,-200.0,27800.0,10807.0,4176.007130896191,3361.176471209129
1788398614.5424316,4.335378900170326,50.847457627118644,-200.0,28320.0,11315.0,4504.603089030998,4440.772680886834
1788398614.6555748,4.448520200094208,57.627118644067764,-200.0,28813.0,11893.0,4379.045761553949,5230.784049213491
1788398614.768334,4.5612773001194,64.40677966101691,-200.0,29218.0,12439.0,3621.3817481056594,4930.650533959244
1788398614.8816886,4.674630000023171,71.18644067796606,-200.0,29562.0,13063.0,3002.4592448773474,5422.9033130553935
1788398614.996453,4.7893926000688225,77.96610169491527,-200.0,29884.0,13678.0,2790.5678766507417,5416.9847017337925
1788398615.115113,4.908050100086257,84.74576271186442,-200.0,30210.0,14361.0,2754.3126414863254,5669.070679564087
1788398615.2300973,5.023031700169668,91.52542372881356,-200.0,30507.0,15048.0,2598.9865817597406,6014.797517786828
